item_cat,item_type,encoding_item_stimulus,norming_item_stimulus,t_stat,p_value,jungle_rating_mean,jungle_rating_std,undersea_rating_mean,undersea_rating_std
Jungle,animal,stimuli/items/jungle_animal_29.png,stimuli/items/jungle_animals_34.png,14.836,0.0,7.02,2.263,1.673,1.125
Jungle,animal,stimuli/items/jungle_animal_30.png,stimuli/items/jungle_animals_20.png,14.78,0.0,6.633,2.514,1.163,0.624
Jungle,object,stimuli/items/jungle_object_1.png,stimuli/items/jungle_objects_7.png,19.982,0.0,7.619,2.295,1.228,0.655
Jungle,object,stimuli/items/jungle_object_2.png,stimuli/items/jungle_objects_8.png,17.781,0.0,6.76,2.153,1.163,0.472
Jungle,object,stimuli/items/jungle_object_3.png,stimuli/items/jungle_objects_2.png,17.46,0.0,7.42,2.348,1.32,0.768
Jungle,object,stimuli/items/jungle_object_4.png,stimuli/items/jungle_objects_19.png,16.796,0.0,6.816,2.261,1.265,0.491
Jungle,object,stimuli/items/jungle_object_5.png,stimuli/items/jungle_objects_4.png,15.158,0.0,6.689,2.214,1.453,1.102
Jungle,object,stimuli/items/jungle_object_6.png,stimuli/items/jungle_objects_28.png,15.119,0.0,7.18,2.057,1.7,1.529
Jungle,object,stimuli/items/jungle_object_7.png,stimuli/items/jungle_objects_3.png,14.627,0.0,7.0,2.402,1.319,1.218
Jungle,object,stimuli/items/jungle_object_8.png,stimuli/items/jungle_objects_38.png,13.56,0.0,7.083,2.664,1.529,1.172
Jungle,object,stimuli/items/jungle_object_9.png,stimuli/items/jungle_objects_13.png,12.95,0.0,7.408,1.892,2.388,1.945
Jungle,object,stimuli/items/jungle_object_10.png,stimuli/items/jungle_objects_15.png,11.523,0.0,6.22,2.743,1.5,0.931
Jungle,object,stimuli/items/jungle_object_11.png,stimuli/items/jungle_objects_5.png,11.049,0.0,6.164,2.942,1.182,0.582
Jungle,object,stimuli/items/jungle_object_12.png,stimuli/items/jungle_objects_39.png,10.966,0.0,6.66,2.797,1.755,1.422
Jungle,object,stimuli/items/jungle_object_13.png,stimuli/items/jungle_objects_27.png,9.65,0.0,6.188,2.582,2.118,1.505
Jungle,object,stimuli/items/jungle_object_14.png,stimuli/items/jungle_objects_1.png,9.162,0.0,6.94,2.502,2.5,2.341
Jungle,object,stimuli/items/jungle_object_15.png,stimuli/items/jungle_objects_31.png,9.141,0.0,5.52,2.742,1.551,1.324
Jungle,object,stimuli/items/jungle_object_16.png,stimuli/items/jungle_objects_25.png,9.08,0.0,5.04,2.976,1.14,0.606
Jungle,object,stimuli/items/jungle_object_17.png,stimuli/items/jungle_objects_18.png,8.987,0.0,5.021,2.877,1.24,0.744
Jungle,object,stimuli/items/jungle_object_18.png,stimuli/items/jungle_objects_24.png,8.269,0.0,6.837,2.435,2.816,2.378
Jungle,object,stimuli/items/jungle_object_19.png,stimuli/items/jungle_objects_32.png,8.25,0.0,5.72,2.907,1.82,1.65
Jungle,object,stimuli/items/jungle_object_20.png,stimuli/items/jungle_objects_21.png,7.848,0.0,6.04,2.74,2.102,2.22
Jungle,object,stimuli/items/jungle_object_21.png,stimuli/items/jungle_objects_11.png,7.042,0.0,5.918,2.73,2.569,1.982
Jungle,object,stimuli/items/jungle_object_22.png,stimuli/items/jungle_objects_6.png,6.972,0.0,4.46,3.085,1.224,1.026
Jungle,object,stimuli/items/jungle_object_23.png,stimuli/items/jungle_objects_35.png,6.424,0.0,6.96,2.285,3.571,2.93
Jungle,object,stimuli/items/jungle_object_24.png,stimuli/items/jungle_objects_36.png,6.381,0.0,4.48,3.303,1.38,0.945
Jungle,object,stimuli/items/jungle_object_25.png,stimuli/items/jungle_objects_14.png,6.16,0.0,3.92,2.578,1.469,1.063
Jungle,object,stimuli/items/jungle_object_26.png,stimuli/items/jungle_objects_20.png,6.109,0.0,5.68,2.803,2.44,2.492
Jungle,object,stimuli/items/jungle_object_27.png,stimuli/items/jungle_objects_37.png,5.895,0.0,5.816,2.977,2.714,2.17
Jungle,object,stimuli/items/jungle_object_28.png,stimuli/items/jungle_objects_29.png,5.738,0.0,5.51,2.859,2.612,2.08
Jungle,object,stimuli/items/jungle_object_29.png,stimuli/items/jungle_objects_10.png,5.481,0.0,3.94,2.606,1.653,1.332
Jungle,object,stimuli/items/jungle_object_30.png,stimuli/items/jungle_objects_23.png,4.602,0.0,6.714,2.432,4.224,2.903
Undersea,animal,stimuli/items/undersea_animal_1.png,stimuli/items/undersea_animals_3.png,-120.467,0.0,1.062,0.32,8.882,0.325
Undersea,animal,stimuli/items/undersea_animal_2.png,stimuli/items/undersea_animals_11.png,-106.183,0.0,1.08,0.274,8.878,0.439
Undersea,animal,stimuli/items/undersea_animal_3.png,stimuli/items/undersea_animals_10.png,-106.16,0.0,1.082,0.277,8.88,0.435
Undersea,animal,stimuli/items/undersea_animal_4.png,stimuli/items/undersea_animals_2.png,-102.056,0.0,1.06,0.24,8.878,0.484
Undersea,animal,stimuli/items/undersea_animal_5.png,stimuli/items/undersea_animals_40.png,-99.783,0.0,1.082,0.344,8.882,0.431
Undersea,animal,stimuli/items/undersea_animal_6.png,stimuli/items/undersea_animals_14.png,-86.586,0.0,1.1,0.364,8.88,0.521
Undersea,animal,stimuli/items/undersea_animal_7.png,stimuli/items/undersea_animals_4.png,-72.081,0.0,1.18,0.56,8.8,0.495
Undersea,animal,stimuli/items/undersea_animal_8.png,stimuli/items/undersea_animals_34.png,-60.848,0.0,1.2,0.606,8.74,0.633
Undersea,animal,stimuli/items/undersea_animal_9.png,stimuli/items/undersea_animals_6.png,-53.171,0.0,1.294,0.879,8.837,0.472
Undersea,animal,stimuli/items/undersea_animal_10.png,stimuli/items/undersea_animals_27.png,-51.022,0.0,1.137,0.401,8.653,0.969
Undersea,animal,stimuli/items/undersea_animal_11.png,stimuli/items/undersea_animals_28.png,-50.741,0.0,1.255,0.927,8.8,0.405
Undersea,animal,stimuli/items/undersea_animal_12.png,stimuli/items/undersea_animals_19.png,-48.217,0.0,1.265,0.93,8.82,0.596
Undersea,animal,stimuli/items/undersea_animal_13.png,stimuli/items/undersea_animals_38.png,-41.344,0.0,1.078,0.392,8.612,1.239
Undersea,animal,stimuli/items/undersea_animal_14.png,stimuli/items/undersea_animals_36.png,-39.94,0.0,1.224,1.026,8.583,0.767
Undersea,animal,stimuli/items/undersea_animal_15.png,stimuli/items/undersea_animals_17.png,-38.178,0.0,1.265,0.7,8.686,1.175
Undersea,animal,stimuli/items/undersea_animal_16.png,stimuli/items/undersea_animals_22.png,-37.902,0.0,1.34,1.303,8.837,0.472
Undersea,animal,stimuli/items/undersea_animal_17.png,stimuli/items/undersea_animals_25.png,-36.675,0.0,1.56,1.358,8.88,0.385
Undersea,animal,stimuli/items/undersea_animal_18.png,stimuli/items/undersea_animals_23.png,-35.917,0.0,1.49,1.325,8.745,0.56
Undersea,animal,stimuli/items/undersea_animal_19.png,stimuli/items/undersea_animals_24.png,-35.282,0.0,1.569,1.345,8.857,0.54
Undersea,animal,stimuli/items/undersea_animal_20.png,stimuli/items/undersea_animals_33.png,-30.017,0.0,1.388,1.096,8.58,1.279
Undersea,animal,stimuli/items/undersea_animal_21.png,stimuli/items/undersea_animals_35.png,-29.691,0.0,1.549,1.205,8.714,1.208
Undersea,animal,stimuli/items/undersea_animal_22.png,stimuli/items/undersea_animals_1.png,-28.806,0.0,1.469,1.043,8.54,1.373
Undersea,animal,stimuli/items/undersea_animal_23.png,stimuli/items/undersea_animals_8.png,-28.699,0.0,1.84,1.57,8.72,0.64
Undersea,animal,stimuli/items/undersea_animal_24.png,stimuli/items/undersea_animals_20.png,-28.407,0.0,1.449,1.1,8.6,1.385
Undersea,animal,stimuli/items/undersea_animal_25.png,stimuli/items/undersea_animals_12.png,-28.302,0.0,1.327,0.944,8.388,1.469
Undersea,animal,stimuli/items/undersea_animal_26.png,stimuli/items/undersea_animals_16.png,-27.469,0.0,1.208,0.544,8.146,1.663
Undersea,animal,stimuli/items/undersea_animal_27.png,stimuli/items/undersea_animals_26.png,-26.025,0.0,1.54,1.515,8.714,1.208
Undersea,animal,stimuli/items/undersea_animal_28.png,stimuli/items/undersea_animals_13.png,-22.513,0.0,1.6,1.325,8.24,1.611
Undersea,animal,stimuli/items/undersea_animal_29.png,stimuli/items/undersea_animals_30.png,-16.462,0.0,2.216,2.033,8.102,1.489
Undersea,animal,stimuli/items/undersea_animal_30.png,stimuli/items/undersea_animals_15.png,-10.753,0.0,2.204,2.141,7.314,2.581
Undersea,object,stimuli/items/undersea_object_1.png,stimuli/items/undersea_objects_24.png,-38.153,0.0,1.061,0.242,8.4,1.325
Undersea,object,stimuli/items/undersea_object_2.png,stimuli/items/undersea_objects_3.png,-37.466,0.0,1.4,1.01,8.52,0.886
Undersea,object,stimuli/items/undersea_object_3.png,stimuli/items/undersea_objects_22.png,-32.658,0.0,1.429,1.041,8.5,1.092
Undersea,object,stimuli/items/undersea_object_4.png,stimuli/items/undersea_objects_28.png,-27.429,0.0,1.878,1.523,8.62,0.83
Undersea,object,stimuli/items/undersea_object_5.png,stimuli/items/undersea_objects_17.png,-24.886,0.0,1.556,1.423,8.444,1.307
Undersea,object,stimuli/items/undersea_object_6.png,stimuli/items/undersea_objects_9.png,-24.354,0.0,1.265,0.569,8.039,1.865
Undersea,object,stimuli/items/undersea_object_7.png,stimuli/items/undersea_objects_31.png,-20.993,0.0,1.512,1.121,8.172,1.798
Undersea,object,stimuli/items/undersea_object_8.png,stimuli/items/undersea_objects_5.png,-18.522,0.0,1.48,1.015,7.755,2.165
Undersea,object,stimuli/items/undersea_object_9.png,stimuli/items/undersea_objects_1.png,-17.216,0.0,1.449,1.308,7.56,2.12
Undersea,object,stimuli/items/undersea_object_10.png,stimuli/items/undersea_objects_33.png,-16.872,0.0,1.94,2.064,8.14,1.578
Undersea,object,stimuli/items/undersea_object_11.png,stimuli/items/undersea_objects_4.png,-12.969,0.0,1.1,0.303,5.833,2.563
Undersea,object,stimuli/items/undersea_object_12.png,stimuli/items/undersea_objects_15.png,-12.789,0.0,1.824,1.571,6.857,2.309
Undersea,object,stimuli/items/undersea_object_13.png,stimuli/items/undersea_objects_37.png,-12.457,0.0,1.46,1.054,5.72,2.176
Undersea,object,stimuli/items/undersea_object_14.png,stimuli/items/undersea_objects_25.png,-11.447,0.0,1.653,1.3,6.54,2.697
Undersea,object,stimuli/items/undersea_object_15.png,stimuli/items/undersea_objects_35.png,-10.99,0.0,1.583,1.269,6.255,2.675
Undersea,object,stimuli/items/undersea_object_16.png,stimuli/items/undersea_objects_36.png,-10.954,0.0,2.02,1.561,6.804,2.646
Undersea,object,stimuli/items/undersea_object_17.png,stimuli/items/undersea_objects_2.png,-10.94,0.0,1.531,1.401,5.882,2.422
Undersea,object,stimuli/items/undersea_object_18.png,stimuli/items/undersea_objects_7.png,-10.879,0.0,1.16,0.618,5.646,2.847
Undersea,object,stimuli/items/undersea_object_19.png,stimuli/items/undersea_objects_18.png,-10.876,0.0,1.51,1.371,5.66,2.3
Undersea,object,stimuli/items/undersea_object_20.png,stimuli/items/undersea_objects_20.png,-10.438,0.0,1.469,1.243,5.74,2.586
Undersea,object,stimuli/items/undersea_object_21.png,stimuli/items/undersea_objects_27.png,-10.007,0.0,1.667,1.26,5.898,2.733
Undersea,object,stimuli/items/undersea_object_22.png,stimuli/items/undersea_objects_21.png,-9.226,0.0,1.68,1.421,5.86,2.871
Undersea,object,stimuli/items/undersea_object_23.png,stimuli/items/undersea_objects_39.png,-8.875,0.0,3.163,2.528,7.5,2.332
Undersea,object,stimuli/items/undersea_object_24.png,stimuli/items/undersea_objects_11.png,-8.577,0.0,2.0,1.568,5.88,2.76
Undersea,object,stimuli/items/undersea_object_25.png,stimuli/items/undersea_objects_34.png,-8.268,0.0,2.875,2.411,6.941,2.477
Undersea,object,stimuli/items/undersea_object_26.png,stimuli/items/undersea_objects_23.png,-8.238,0.0,2.22,2.033,6.408,2.95
Undersea,object,stimuli/items/undersea_object_27.png,stimuli/items/undersea_objects_10.png,-7.327,0.0,2.346,2.168,5.681,2.36
Undersea,object,stimuli/items/undersea_object_28.png,stimuli/items/undersea_objects_16.png,-7.256,0.0,2.8,2.304,6.306,2.502
Undersea,object,stimuli/items/undersea_object_29.png,stimuli/items/undersea_objects_29.png,-6.916,0.0,1.531,1.174,4.353,2.614
Undersea,object,stimuli/items/undersea_object_30.png,stimuli/items/undersea_objects_12.png,-6.506,0.0,3.8,2.507,6.857,2.151
Other,animal,stimuli/items/other_animal_1.png,stimuli/items/other_animals_9.png,0.464,0.644,3.06,2.931,2.8,2.673
Other,animal,stimuli/items/other_animal_2.png,stimuli/items/other_animals_11.png,-0.529,0.598,2.796,2.245,3.041,2.336
Other,animal,stimuli/items/other_animal_3.png,stimuli/items/other_animals_1.png,1.076,0.285,3.347,2.403,2.857,2.092
Other,animal,stimuli/items/other_animal_4.png,stimuli/items/other_animals_30.png,3.84,0.0,4.115,2.51,2.438,1.761
Other,animal,stimuli/items/other_animal_5.png,stimuli/items/other_animals_35.png,3.963,0.0,4.36,2.663,2.367,2.325
Other,animal,stimuli/items/other_animal_6.png,stimuli/items/other_animals_10.png,4.305,0.0,2.5,2.188,1.12,0.594
Other,animal,stimuli/items/other_animal_7.png,stimuli/items/other_animals_12.png,4.561,0.0,2.306,1.895,1.061,0.242
Other,animal,stimuli/items/other_animal_8.png,stimuli/items/other_animals_29.png,4.666,0.0,2.469,2.122,1.06,0.24
Other,animal,stimuli/items/other_animal_9.png,stimuli/items/other_animals_14.png,4.84,0.0,4.469,2.732,2.196,1.908
Other,animal,stimuli/items/other_animal_10.png,stimuli/items/other_animals_6.png,5.178,0.0,2.72,2.223,1.08,0.274
Other,animal,stimuli/items/other_animal_11.png,stimuli/items/other_animals_2.png,5.252,0.0,2.72,2.129,1.12,0.328
Other,animal,stimuli/items/other_animal_12.png,stimuli/items/other_animals_37.png,5.275,0.0,3.449,3.13,1.082,0.277
Other,animal,stimuli/items/other_animal_13.png,stimuli/items/other_animals_3.png,5.747,0.0,3.26,2.724,1.04,0.198
Other,animal,stimuli/items/other_animal_14.png,stimuli/items/other_animals_21.png,5.809,0.0,3.22,2.526,1.102,0.368
Other,animal,stimuli/items/other_animal_15.png,stimuli/items/other_animals_20.png,6.145,0.0,3.2,2.424,1.061,0.242
Other,animal,stimuli/items/other_animal_16.png,stimuli/items/other_animals_40.png,6.374,0.0,3.816,2.643,1.275,1.041
Other,animal,stimuli/items/other_animal_17.png,stimuli/items/other_animals_19.png,6.392,0.0,3.571,2.614,1.122,0.6
Other,animal,stimuli/items/other_animal_18.png,stimuli/items/other_animals_8.png,6.946,0.0,3.8,2.726,1.082,0.277
Other,animal,stimuli/items/other_animal_19.png,stimuli/items/other_animals_13.png,6.999,0.0,3.92,2.856,1.08,0.274
Other,animal,stimuli/items/other_animal_20.png,stimuli/items/other_animals_36.png,7.014,0.0,3.959,2.937,1.04,0.198
Other,object,stimuli/items/other_object_1.png,stimuli/items/other_objects_21.png,0.063,0.95,1.608,1.185,1.592,1.337
Other,object,stimuli/items/other_object_2.png,stimuli/items/other_objects_25.png,0.505,0.615,2.92,2.337,2.673,2.52
Other,object,stimuli/items/other_object_3.png,stimuli/items/other_objects_8.png,0.894,0.374,1.333,1.013,1.184,0.601
Other,object,stimuli/items/other_object_4.png,stimuli/items/other_objects_42.png,1.036,0.303,1.167,0.519,1.077,0.334
Other,object,stimuli/items/other_object_5.png,stimuli/items/other_objects_26.png,1.05,0.296,1.408,0.864,1.245,0.662
Other,object,stimuli/items/other_object_6.png,stimuli/items/other_objects_43.png,1.149,0.254,3.34,2.662,2.776,2.201
Other,object,stimuli/items/other_object_7.png,stimuli/items/other_objects_27.png,1.183,0.24,1.12,0.385,1.04,0.283
Other,object,stimuli/items/other_object_8.png,stimuli/items/other_objects_18.png,-1.233,0.221,1.46,1.034,1.8,1.654
Other,object,stimuli/items/other_object_9.png,stimuli/items/other_objects_16.png,-1.256,0.212,1.72,1.485,2.14,1.841
Other,object,stimuli/items/other_object_10.png,stimuli/items/other_objects_34.png,1.653,0.102,2.38,2.049,1.816,1.236
Other,object,stimuli/items/other_object_11.png,stimuli/items/other_objects_40.png,1.697,0.093,1.184,0.667,1.02,0.141
Other,object,stimuli/items/other_object_12.png,stimuli/items/other_objects_39.png,1.742,0.085,1.42,1.162,1.1,0.58
Other,object,stimuli/items/other_object_13.png,stimuli/items/other_objects_23.png,1.82,0.072,1.3,0.863,1.061,0.317
Other,object,stimuli/items/other_object_14.png,stimuli/items/other_objects_12.png,1.829,0.07,1.82,1.466,1.36,1.005
Other,object,stimuli/items/other_object_15.png,stimuli/items/other_objects_36.png,1.907,0.059,2.0,1.62,1.46,1.164
Other,object,stimuli/items/other_object_16.png,stimuli/items/other_objects_28.png,1.994,0.049,1.7,1.344,1.265,0.73
Other,object,stimuli/items/other_object_17.png,stimuli/items/other_objects_30.png,2.202,0.03,1.957,1.577,1.37,1.069
Other,object,stimuli/items/other_object_18.png,stimuli/items/other_objects_20.png,2.333,0.022,1.571,1.429,1.082,0.344
Other,object,stimuli/items/other_object_19.png,stimuli/items/other_objects_22.png,2.362,0.02,1.417,1.069,1.058,0.235
Other,object,stimuli/items/other_object_20.png,stimuli/items/other_objects_19.png,2.37,0.02,1.549,1.27,1.102,0.368
