8.7060 	WARNING 	Requested an unavailable screen number - using first available.
8.7080 	WARNING 	User requested fullscreen with size [1920 1080], but screen is actually [2560, 1440]. Using actual size
13.6470 	WARNING 	Font b'Open Sans' was requested. No similar font found.
13.6519 	WARNING 	Font b'Open Sans' was requested. No similar font found.
13.6734 	WARNING 	Font b'Open Sans' was requested. No similar font found.
13.6776 	WARNING 	Font b'Open Sans' was requested. No similar font found.
13.6818 	WARNING 	Font b'Open Sans' was requested. No similar font found.
13.6860 	WARNING 	Font b'Open Sans' was requested. No similar font found.
13.6902 	WARNING 	Font b'Open Sans' was requested. No similar font found.
13.6943 	WARNING 	Font b'Open Sans' was requested. No similar font found.
32.0239 	WARNING 	Requested image 'stimuli/scenes/scene_J1.png' not found but similar filename 'stimuli/scenes/scene_J1.jpg' exists. This will be used instead but changing the filename is advised.
32.0712 	WARNING 	Requested image 'stimuli/scenes/scene_J2.png' not found but similar filename 'stimuli/scenes/scene_J2.jpg' exists. This will be used instead but changing the filename is advised.
32.1245 	WARNING 	Requested image 'stimuli/scenes/scene_U1.png' not found but similar filename 'stimuli/scenes/scene_U1.jpg' exists. This will be used instead but changing the filename is advised.
32.1719 	WARNING 	Requested image 'stimuli/scenes/scene_U2.png' not found but similar filename 'stimuli/scenes/scene_U2.jpg' exists. This will be used instead but changing the filename is advised.
