thisRow.t,notes,piloting,get_relatedness_keys.started,get_relatedness_keys.stopped,instructions_screen.started,text_instructions.started,key_welcome.started,instructions_screen.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,instruction_keys.started,text_keys.started,key_resp_keysInst.started,instruction_keys.stopped,key_resp_keysInst.keys,key_resp_keysInst.rt,key_resp_keysInst.duration,scene_names_reminder.started,text_reminder.started,image1.started,image2.started,image3.started,image4.started,textbox1.started,textbox2.started,textbox3.started,textbox4.started,participant,session,delay,group,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,False,0.002023200038820505,0.002343200147151947,,,,,,,,,,,,,,,,,,,,,,,,,201,1,short,A,2026-07-09_12h59.04.662,SBL_superimposed_encoding,,2026.1.3,120.30987016412897,2026-07-09 12h59.04.844500 -0400,
,,,,,0.002370100002735853,0.0050762000028043985,0.9955828001257032,1.825425900053233,space,0.8166062000673264,None,,,,,,,,,,,,,,,,,,201,1,short,A,2026-07-09_12h59.04.662,SBL_superimposed_encoding,,2026.1.3,120.30987016412897,2026-07-09 12h59.04.844500 -0400,
,,,,,,,,,,,,1.850523800123483,1.8535054000094533,1.8535054000094533,12.5377883000765,space,10.67806199984625,None,,,,,,,,,,,201,1,short,A,2026-07-09_12h59.04.662,SBL_superimposed_encoding,,2026.1.3,120.30987016412897,2026-07-09 12h59.04.844500 -0400,
,,,,,,,,,,,,,,,,,,,12.671976000070572,12.753672400023788,12.753672400023788,12.753672400023788,12.753672400023788,12.753672400023788,12.753672400023788,12.753672400023788,12.753672400023788,12.753672400023788,,,,,,,,,,,
