5.1877 	WARNING 	Requested an unavailable screen number - using first available.
5.1913 	WARNING 	User requested fullscreen with size [1920 1080], but screen is actually [2560, 1440]. Using actual size
9.9472 	WARNING 	Font b'Open Sans' was requested. No similar font found.
9.9520 	WARNING 	Font b'Open Sans' was requested. No similar font found.
9.9735 	WARNING 	Font b'Open Sans' was requested. No similar font found.
9.9775 	WARNING 	Font b'Open Sans' was requested. No similar font found.
9.9816 	WARNING 	Font b'Open Sans' was requested. No similar font found.
9.9857 	WARNING 	Font b'Open Sans' was requested. No similar font found.
9.9897 	WARNING 	Font b'Open Sans' was requested. No similar font found.
9.9937 	WARNING 	Font b'Open Sans' was requested. No similar font found.
27.8002 	WARNING 	Requested image 'stimuli/scenes/scene_J1.png' not found but similar filename 'stimuli/scenes/scene_J1.jpg' exists. This will be used instead but changing the filename is advised.
27.8574 	WARNING 	Requested image 'stimuli/scenes/scene_J2.png' not found but similar filename 'stimuli/scenes/scene_J2.jpg' exists. This will be used instead but changing the filename is advised.
27.8988 	WARNING 	Requested image 'stimuli/scenes/scene_U1.png' not found but similar filename 'stimuli/scenes/scene_U1.jpg' exists. This will be used instead but changing the filename is advised.
27.9404 	WARNING 	Requested image 'stimuli/scenes/scene_U2.png' not found but similar filename 'stimuli/scenes/scene_U2.jpg' exists. This will be used instead but changing the filename is advised.
