8.6919 	WARNING 	Requested an unavailable screen number - using first available.
8.6948 	WARNING 	User requested fullscreen with size [1920 1080], but screen is actually [2560, 1440]. Using actual size
13.6107 	WARNING 	Font b'Open Sans' was requested. No similar font found.
13.6153 	WARNING 	Font b'Open Sans' was requested. No similar font found.
13.6361 	WARNING 	Font b'Open Sans' was requested. No similar font found.
13.6401 	WARNING 	Font b'Open Sans' was requested. No similar font found.
13.6440 	WARNING 	Font b'Open Sans' was requested. No similar font found.
13.6480 	WARNING 	Font b'Open Sans' was requested. No similar font found.
13.6519 	WARNING 	Font b'Open Sans' was requested. No similar font found.
13.6557 	WARNING 	Font b'Open Sans' was requested. No similar font found.
30.5562 	WARNING 	Requested image 'stimuli/scenes/scene_J1.png' not found but similar filename 'stimuli/scenes/scene_J1.jpg' exists. This will be used instead but changing the filename is advised.
30.6282 	WARNING 	Requested image 'stimuli/scenes/scene_J2.png' not found but similar filename 'stimuli/scenes/scene_J2.jpg' exists. This will be used instead but changing the filename is advised.
30.6785 	WARNING 	Requested image 'stimuli/scenes/scene_U1.png' not found but similar filename 'stimuli/scenes/scene_U1.jpg' exists. This will be used instead but changing the filename is advised.
30.7310 	WARNING 	Requested image 'stimuli/scenes/scene_U2.png' not found but similar filename 'stimuli/scenes/scene_U2.jpg' exists. This will be used instead but changing the filename is advised.
