9.5715 	WARNING 	Requested an unavailable screen number - using first available.
9.5770 	WARNING 	User requested fullscreen with size [1920 1080], but screen is actually [2560, 1440]. Using actual size
14.3331 	WARNING 	Font b'Open Sans' was requested. No similar font found.
14.3377 	WARNING 	Font b'Open Sans' was requested. No similar font found.
14.3591 	WARNING 	Font b'Open Sans' was requested. No similar font found.
14.3631 	WARNING 	Font b'Open Sans' was requested. No similar font found.
14.3671 	WARNING 	Font b'Open Sans' was requested. No similar font found.
14.3711 	WARNING 	Font b'Open Sans' was requested. No similar font found.
14.3750 	WARNING 	Font b'Open Sans' was requested. No similar font found.
14.3789 	WARNING 	Font b'Open Sans' was requested. No similar font found.
12.5435 	WARNING 	Requested image 'stimuli/scenes/scene_J1.png' not found but similar filename 'stimuli/scenes/scene_J1.jpg' exists. This will be used instead but changing the filename is advised.
12.5656 	WARNING 	Requested image 'stimuli/scenes/scene_J2.png' not found but similar filename 'stimuli/scenes/scene_J2.jpg' exists. This will be used instead but changing the filename is advised.
12.5877 	WARNING 	Requested image 'stimuli/scenes/scene_U1.png' not found but similar filename 'stimuli/scenes/scene_U1.jpg' exists. This will be used instead but changing the filename is advised.
12.6069 	WARNING 	Requested image 'stimuli/scenes/scene_U2.png' not found but similar filename 'stimuli/scenes/scene_U2.jpg' exists. This will be used instead but changing the filename is advised.
