8.4382 	WARNING 	Requested an unavailable screen number - using first available.
8.4410 	WARNING 	User requested fullscreen with size [1920 1080], but screen is actually [2560, 1440]. Using actual size
13.2215 	WARNING 	Font b'Open Sans' was requested. No similar font found.
13.2261 	WARNING 	Font b'Open Sans' was requested. No similar font found.
13.2466 	WARNING 	Font b'Open Sans' was requested. No similar font found.
13.2505 	WARNING 	Font b'Open Sans' was requested. No similar font found.
13.2543 	WARNING 	Font b'Open Sans' was requested. No similar font found.
13.2583 	WARNING 	Font b'Open Sans' was requested. No similar font found.
13.2622 	WARNING 	Font b'Open Sans' was requested. No similar font found.
13.2661 	WARNING 	Font b'Open Sans' was requested. No similar font found.
46.5167 	WARNING 	Requested image 'stimuli/scenes/scene_J1.png' not found but similar filename 'stimuli/scenes/scene_J1.jpg' exists. This will be used instead but changing the filename is advised.
46.5651 	WARNING 	Requested image 'stimuli/scenes/scene_J2.png' not found but similar filename 'stimuli/scenes/scene_J2.jpg' exists. This will be used instead but changing the filename is advised.
46.6184 	WARNING 	Requested image 'stimuli/scenes/scene_U1.png' not found but similar filename 'stimuli/scenes/scene_U1.jpg' exists. This will be used instead but changing the filename is advised.
46.6486 	WARNING 	Requested image 'stimuli/scenes/scene_U2.png' not found but similar filename 'stimuli/scenes/scene_U2.jpg' exists. This will be used instead but changing the filename is advised.
