run,thisN,thisTrialN,thisRepN,scene_stimulus,scene_cat,scene_label,item_stimulus,item_cat,item_type,congruency,key_resp_remember.keys,key_resp_context.keys,key_resp_context.corr,key_resp_context.rt,key_resp_context.duration,key_resp_context_conf.keys,key_resp_context_conf.rt,key_resp_context_conf.duration,key_resp_scenes.keys,key_resp_scenes.corr,key_resp_scenes.rt,key_resp_scenes.duration,key_resp_scene_conf.keys,key_resp_scene_conf.rt,key_resp_scene_conf.duration,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,show_rest_screen.thisRepN,show_rest_screen.thisTrialN,show_rest_screen.thisN,show_rest_screen.thisIndex,thisRow.t,notes,piloting,subs_rand_vars.started,subs_rand_vars.stopped,set_instructions.started,set_instructions.stopped,ret_inst_scr.started,text_instructions.started,key_resp_start.started,ret_inst_scr.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,ret_inst2.started,text_instructions_2.started,key_resp_start_2.started,ret_inst2.stopped,key_resp_start_2.keys,key_resp_start_2.rt,key_resp_start_2.duration,scene_names_reminder.started,text_reminder.started,image1.started,image2.started,image3.started,image4.started,textbox1.started,textbox2.started,textbox3.started,textbox4.started,key_reminder.started,scene_names_reminder.stopped,key_reminder.keys,key_reminder.rt,key_reminder.duration,blank3000_2.started,text_3.started,text_3.stopped,blank3000_2.stopped,create_runs_stim_div.started,create_runs_stim_div.stopped,set_rows.started,set_rows.stopped,item_imagine_scene.started,item_cue.started,item_imagine_scene.stopped,trials.key_resp_remember.keys,blank1000.started,blank1000.stopped,select_context.started,text_context_headline.started,text_sea.started,text_jungle.started,key_resp_context.started,select_context.stopped,trials.key_resp_context.keys,trials.key_resp_context.corr,trials.key_resp_context.rt,trials.key_resp_context.duration,blank500.started,text_blank.started,text_blank.stopped,blank500.stopped,context_confidence.started,text_context_choice.started,slider_context_conf.started,key_resp_context_conf.started,context_confidence.stopped,trials.key_resp_context_conf.keys,trials.key_resp_context_conf.rt,trials.key_resp_context_conf.duration,select_scene_name.started,text_scene_headline.started,text_actual_context.started,text_q_scene.started,text_labels.started,select_scene_name.stopped,trials.key_resp_scenes.keys,trials.key_resp_scenes.corr,trials.key_resp_scenes.rt,trials.key_resp_scenes.duration,scene_confidence.started,text_chosen_scene.started,slider_scene_conf.started,key_resp_scene_conf.started,scene_confidence.stopped,trials.key_resp_scene_conf.keys,trials.key_resp_scene_conf.rt,trials.key_resp_scene_conf.duration,blank3000.started,blank3000.stopped,item_cue.stopped,text_chosen_scene.stopped,slider_scene_conf.stopped,key_resp_scene_conf.stopped,text_context_headline.stopped,text_sea.stopped,text_jungle.stopped,key_resp_context.stopped,text_context_choice.stopped,slider_context_conf.stopped,key_resp_context_conf.stopped,text_scene_headline.stopped,text_actual_context.stopped,text_q_scene.stopped,text_labels.stopped,is_last.started,is_last.stopped,rest_between_runs.started,text_run_rest.started,key_resp_run_rest.started,rest_between_runs.stopped,show_rest_screen.key_resp_run_rest.keys,show_rest_screen.key_resp_run_rest.rt,show_rest_screen.key_resp_run_rest.duration,participant,session,delay,group,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.013489499920979142,0.013836600119248033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,short,A,2026-07-09_12h22.50.746,SBL_superimposed_retrieval,,2026.1.3,120.19115200850248,2026-07-09 12h22.51.127860 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013867400120943785,0.014074899954721332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,short,A,2026-07-09_12h22.50.746,SBL_superimposed_retrieval,,2026.1.3,120.19115200850248,2026-07-09 12h22.51.127860 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014095599995926023,0.016966399969533086,1.0076254000887275,1.1361370000522584,space,0.11296210018917918,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,short,A,2026-07-09_12h22.50.746,SBL_superimposed_retrieval,,2026.1.3,120.19115200850248,2026-07-09 12h22.51.127860 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1361791000235826,1.1387259000912309,3.1332318999338895,3.3339951999951154,space,0.19586550001986325,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,short,A,2026-07-09_12h22.50.746,SBL_superimposed_retrieval,,2026.1.3,120.19115200850248,2026-07-09 12h22.51.127860 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4366669000592083,3.509891200112179,3.509891200112179,3.509891200112179,3.509891200112179,3.509891200112179,3.509891200112179,3.509891200112179,3.509891200112179,3.509891200112179,5.33308340003714,6.4838221000973135,space,1.147760600084439,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,short,A,2026-07-09_12h22.50.746,SBL_superimposed_retrieval,,2026.1.3,120.19115200850248,2026-07-09 12h22.51.127860 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.483864299952984,6.49098760006018,9.527732500107959,9.474677399965003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,short,A,2026-07-09_12h22.50.746,SBL_superimposed_retrieval,,2026.1.3,120.19115200850248,2026-07-09 12h22.51.127860 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.474896900122985,9.475108300102875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,short,A,2026-07-09_12h22.50.746,SBL_superimposed_retrieval,,2026.1.3,120.19115200850248,2026-07-09 12h22.51.127860 -0400,
0,0,0,0,stimuli/scenes/scene_J1.jpg,Jungle,Negvi,stimuli/items/jungle_object_20.png,Jungle,object,sc,None,2,0,0.646980999968946,None,1,0.27520000003278255,None,2,1,0.38583169993944466,None,1,0.24543230002745986,None,0,0,0,0,0,0,0,0,,,,,9.527732500107959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.485771700041369,9.486011700006202,9.524570100009441,9.527732500107959,13.491460700053722,None,15.926036800025031,16.91679530008696,14.49023240013048,14.494234699988738,14.494234699988738,14.494234699988738,0.0042403999250382185,15.142001600004733,2,0,0.646980999968946,None,17.317290500039235,17.324613200034946,17.81944470014423,17.808755700010806,15.636146100005135,15.645503400126472,15.645503400126472,15.645503400126472,15.925978499930352,1,0.27520000003278255,None,16.92201430001296,16.926606999943033,16.926606999943033,16.926606999943033,16.926606999943033,17.31723239994608,2,1,0.38583169993944466,None,17.810986700002104,17.81944470014423,17.81944470014423,17.81944470014423,18.06737589999102,1,0.24543230002745986,None,18.067433699965477,21.058751499978825,,,,,,,,,,,,,,,,,,,,,,,,,220,1,short,A,2026-07-09_12h22.50.746,SBL_superimposed_retrieval,,2026.1.3,120.19115200850248,2026-07-09 12h22.51.127860 -0400,
0,1,1,0,stimuli/scenes/scene_J2.jpg,Jungle,Tulon,stimuli/items/undersea_animal_4.png,Undersea,animal,si,None,2,0,0.381145799998194,None,1,0.2352328000124544,None,2,0,0.27298350003547966,None,1,0.40996109996922314,None,0,0,0,0,0,1,1,1,,,,,21.09567980002612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.093134300084785,21.09567980002612,25.075071200029925,None,27.192523800069466,28.183805600041524,26.06755040003918,26.074852399993688,26.074852399993688,26.074852399993688,0.00016120006330311298,26.450638100039214,2,0,0.381145799998194,None,28.46739140013233,28.474852400133386,28.966571900062263,28.958739400142804,26.94299970008433,26.949679400073364,26.949679400073364,26.949679400073364,27.192469000117853,1,0.2352328000124544,None,28.184207299957052,28.191469999961555,28.191469999961555,28.191469999961555,28.191469999961555,28.46733279991895,2,0,0.27298350003547966,None,28.95961969997734,28.966571900062263,28.966571900062263,28.966571900062263,29.38446530001238,1,0.40996109996922314,None,29.38452300010249,32.37531949998811,,,,,,,,,,,,,,,,,,,,,,,,,220,1,short,A,2026-07-09_12h22.50.746,SBL_superimposed_retrieval,,2026.1.3,120.19115200850248,2026-07-09 12h22.51.127860 -0400,
0,2,2,0,stimuli/scenes/scene_J2.jpg,Jungle,Tulon,stimuli/items/jungle_object_6.png,Jungle,object,sc,None,2,0,0.7380677999462932,None,1,0.2634127999190241,None,2,0,0.26050419989041984,None,2,0.27792459982447326,None,0,0,0,0,0,2,2,2,,,,,32.39090509992093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.388090500142425,32.39090509992093,36.375740699935704,None,38.900939099956304,39.89248379995115,37.36779569997452,37.37505879998207,37.37505879998207,37.37505879998207,0.007799000013619661,38.13425190001726,2,0,0.7380677999462932,None,40.16768810013309,40.1749360000249,40.666747899958864,40.65928420005366,38.6261714999564,38.63326620007865,38.63326620007865,38.63326620007865,38.90088289999403,1,0.2634127999190241,None,39.89292460004799,39.900273400126025,39.900273400126025,39.900273400126025,39.900273400126025,40.16762810014188,2,0,0.26050419989041984,None,40.66017200006172,40.666747899958864,40.666747899958864,40.666747899958864,40.951343399938196,2,0.27792459982447326,None,40.951398600125685,43.94218360004015,36.38347110012546,,,,,,,,,,,,,,,,,,,,,,,,220,1,short,A,2026-07-09_12h22.50.746,SBL_superimposed_retrieval,,2026.1.3,120.19115200850248,2026-07-09 12h22.51.127860 -0400,
