run,thisN,thisTrialN,thisRepN,scene_stimulus,scene_cat,scene_label,item_stimulus,item_cat,item_type,congruency,key_resp_remember.keys,key_resp_context.keys,key_resp_context.corr,key_resp_context.rt,key_resp_context.duration,key_resp_context_conf.keys,key_resp_context_conf.rt,key_resp_context_conf.duration,key_resp_scenes.keys,key_resp_scenes.corr,key_resp_scenes.rt,key_resp_scenes.duration,key_resp_scene_conf.keys,key_resp_scene_conf.rt,key_resp_scene_conf.duration,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,subs_rand_vars.started,subs_rand_vars.stopped,set_instructions.started,set_instructions.stopped,ret_inst_scr.started,text_instructions.started,key_resp_start.started,ret_inst_scr.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,ret_inst2.started,text_instructions_2.started,key_resp_start_2.started,ret_inst2.stopped,key_resp_start_2.keys,key_resp_start_2.rt,key_resp_start_2.duration,scene_names_reminder.started,text_reminder.started,image1.started,image2.started,image3.started,image4.started,textbox1.started,textbox2.started,textbox3.started,textbox4.started,key_reminder.started,scene_names_reminder.stopped,key_reminder.keys,key_reminder.rt,key_reminder.duration,blank3000_2.started,text_3.started,text_3.stopped,blank3000_2.stopped,create_runs_stim_div.started,create_runs_stim_div.stopped,set_rows.started,set_rows.stopped,item_imagine_scene.started,item_cue.started,item_imagine_scene.stopped,trials.key_resp_remember.keys,blank1000.started,blank1000.stopped,select_context.started,text_context_headline.started,text_sea.started,text_jungle.started,key_resp_context.started,select_context.stopped,trials.key_resp_context.keys,trials.key_resp_context.corr,trials.key_resp_context.rt,trials.key_resp_context.duration,blank500.started,text_blank.started,text_blank.stopped,blank500.stopped,context_confidence.started,text_context_choice.started,slider_context_conf.started,key_resp_context_conf.started,context_confidence.stopped,trials.key_resp_context_conf.keys,trials.key_resp_context_conf.rt,trials.key_resp_context_conf.duration,select_scene_name.started,text_scene_headline.started,text_actual_context.started,text_q_scene.started,text_labels.started,select_scene_name.stopped,trials.key_resp_scenes.keys,trials.key_resp_scenes.corr,trials.key_resp_scenes.rt,trials.key_resp_scenes.duration,scene_confidence.started,text_chosen_scene.started,slider_scene_conf.started,key_resp_scene_conf.started,scene_confidence.stopped,trials.key_resp_scene_conf.keys,trials.key_resp_scene_conf.rt,trials.key_resp_scene_conf.duration,blank3000.started,blank3000.stopped,item_cue.stopped,text_context_headline.stopped,text_sea.stopped,text_jungle.stopped,key_resp_context.stopped,text_context_choice.stopped,slider_context_conf.stopped,key_resp_context_conf.stopped,text_scene_headline.stopped,text_actual_context.stopped,text_q_scene.stopped,text_labels.stopped,text_chosen_scene.stopped,slider_scene_conf.stopped,key_resp_scene_conf.stopped,participant,session,delay,group,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.043324099853634834,0.043663399992510676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,short,A,2026-07-09_11h21.26.609,SBL_superimposed_retrieval,,2026.1.3,120.12603591000385,2026-07-09 11h21.27.033608 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04369649989530444,0.0439087999984622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,short,A,2026-07-09_11h21.26.609,SBL_superimposed_retrieval,,2026.1.3,120.12603591000385,2026-07-09 11h21.27.033608 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0439319999422878,0.04708419996313751,1.0369800999760628,2.0163693998474628,space,0.9613791001029313,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,short,A,2026-07-09_11h21.26.609,SBL_superimposed_retrieval,,2026.1.3,120.12603591000385,2026-07-09 11h21.27.033608 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.016414999961853,2.019567099865526,4.011967899976298,4.054815900046378,space,0.03457939997315407,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,short,A,2026-07-09_11h21.26.609,SBL_superimposed_retrieval,,2026.1.3,120.12603591000385,2026-07-09 11h21.27.033608 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2566823998931795,4.329694099957123,4.329694099957123,4.329694099957123,4.329694099957123,4.329694099957123,4.329694099957123,4.329694099957123,4.329694099957123,4.329694099957123,6.045795199926943,6.5801464999094605,space,0.5288141998462379,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,short,A,2026-07-09_11h21.26.609,SBL_superimposed_retrieval,,2026.1.3,120.12603591000385,2026-07-09 11h21.27.033608 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.580187099985778,6.586794199887663,9.689619299955666,9.570890399860218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,short,A,2026-07-09_11h21.26.609,SBL_superimposed_retrieval,,2026.1.3,120.12603591000385,2026-07-09 11h21.27.033608 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.571131799835712,9.571334999985993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,short,A,2026-07-09_11h21.26.609,SBL_superimposed_retrieval,,2026.1.3,120.12603591000385,2026-07-09 11h21.27.033608 -0400,
0,0,0,0,stimuli/scenes/scene_U1.jpg,Undersea,Somar,stimuli/items/undersea_object_6.png,Undersea,object,sc,None,2,1,1.282698699971661,None,3,0.26965380017645657,None,2,0,0.22995169996283948,None,3,0.43890619999729097,None,0,0,0,0,0,0,0,0,9.689619299955666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.599004799965769,9.599256200017408,9.685298699885607,9.689619299955666,13.604099999880418,None,16.671460999874398,17.662714699981734,14.603371999925002,14.607260799966753,14.607260799966753,14.607260799966753,0.004136400064453483,15.888220799854025,2,1,1.282698699971661,None,17.905122000025585,17.912337699905038,18.407580300001428,18.396333399927244,16.38210120005533,16.400487100007012,16.400487100007012,16.400487100007012,16.671404500026256,3,0.26965380017645657,None,17.66814689990133,17.672537500038743,17.672537500038743,17.672537500038743,17.672537500038743,17.905062600038946,2,0,0.22995169996283948,None,18.398731200024486,18.407580300001428,18.407580300001428,18.407580300001428,18.85486979992129,3,0.43890619999729097,None,18.85492950002663,21.846134999999776,,,,,,,,,,,,,,,,220,1,short,A,2026-07-09_11h21.26.609,SBL_superimposed_retrieval,,2026.1.3,120.12603591000385,2026-07-09 11h21.27.033608 -0400,
0,1,1,0,stimuli/scenes/scene_U1.jpg,Undersea,Somar,stimuli/items/undersea_object_3.png,Undersea,object,sc,None,None,0,,,None,,,None,0,,,None,,,0,0,0,0,0,1,1,1,21.869880500016734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.86764069995843,21.869880500016734,25.854293199954554,None,31.83871419983916,32.829503200016916,26.846793900011107,26.854261899832636,26.854261899832636,26.854261899832636,-0.0004333001561462879,29.346444600028917,None,0,,,35.32983889989555,35.346233299933374,35.83773389994167,35.829618599964306,29.842141799861565,29.84910269989632,29.84910269989632,29.84910269989632,31.83866579993628,None,,,32.82992699998431,32.84613580000587,32.84613580000587,32.84613580000587,32.84613580000587,35.329788899980485,None,0,,,35.83285909984261,35.84609659994021,35.84609659994021,35.84609659994021,37.830328800017014,None,,,37.83037510002032,40.82977249985561,25.86235149996355,29.34613009984605,29.34613009984605,29.34613009984605,2.4912695998791605,31.845855499850586,31.845855499850586,31.845855499850586,35.337479499867186,35.337479499867186,35.337479499867186,35.337479499867186,37.83775349985808,37.83775349985808,37.83775349985808,220,1,short,A,2026-07-09_11h21.26.609,SBL_superimposed_retrieval,,2026.1.3,120.12603591000385,2026-07-09 11h21.27.033608 -0400,
0,2,2,0,stimuli/scenes/scene_J1.jpg,Jungle,Negvi,stimuli/items/undersea_object_7.png,Undersea,object,si,None,None,0,,,None,,,2,1,0.24797199992462993,None,3,0.23283510003238916,None,0,0,0,0,0,2,2,2,40.85442569991574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.85208989982493,40.85442569991574,44.83810049993917,None,50.830441899830475,51.82996829994954,45.831004299921915,45.846138699911535,45.846138699911535,45.846138699911535,-0.0002117000985890627,48.34674649988301,None,0,,,52.097122699953616,52.10463239997625,52.59759919997305,52.588044699979946,48.83928239997476,48.846196400001645,48.846196400001645,48.846196400001645,50.83039579982869,None,,,51.83546440000646,51.84642189997248,51.84642189997248,51.84642189997248,51.84642189997248,52.09706459986046,2,1,0.24797199992462993,None,52.5903939998243,52.59759919997305,52.59759919997305,52.59759919997305,52.83845239994116,3,0.23283510003238916,None,52.838507500011474,55.830277799861506,44.846133099868894,48.33782859984785,48.33782859984785,48.33782859984785,2.491539199836552,50.83770989999175,50.83770989999175,50.83770989999175,,,,,,,,220,1,short,A,2026-07-09_11h21.26.609,SBL_superimposed_retrieval,,2026.1.3,120.12603591000385,2026-07-09 11h21.27.033608 -0400,
