thisRow.t,notes,piloting,get_sub_vars.started,get_sub_vars.stopped,overall_instructions.started,text_instructions.started,key_welcome.started,overall_instructions.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,part1_instructions.started,text_instructions_part1.started,key_instructions_part1.started,part1_instructions.stopped,key_instructions_part1.keys,key_instructions_part1.rt,key_instructions_part1.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,False,0.0034345000167377293,0.0034986999817192554,,,,,,,,,,,,,,,20,1,2026-07-09_13h35.18.385,SBL_superimposed_training_task,,2026.1.3,120.09314425289465,2026-07-09 13h35.19.597543 -0400,
,,,,,0.0035197000252082944,0.01075489999493584,1.0024774000048637,1.6276319000171497,space,0.6222722000093199,None,,,,,,,,20,1,2026-07-09_13h35.18.385,SBL_superimposed_training_task,,2026.1.3,120.09314425289465,2026-07-09 13h35.19.597543 -0400,
,,,,,,,,,,,,1.6276687000063248,1.6356626999913715,1.6356626999913715,2.811096900026314,space,1.17318509996403,None,20,1,2026-07-09_13h35.18.385,SBL_superimposed_training_task,,2026.1.3,120.09314425289465,2026-07-09 13h35.19.597543 -0400,
