scene_stimulus,scene_label,scene_img,correct_key,thisN,thisTrialN,thisRepN,key_sceneLearn.keys,key_sceneLearn.rt,key_sceneLearn.duration,scene_image,key_resp.keys,key_resp.rt,key_resp.duration,key_part2.keys,key_part2.corr,key_part2.rt,key_part2.duration,qst_num,question,options,correct_answer,label_current,scene_again,trials_part1.thisRepN,trials_part1.thisTrialN,trials_part1.thisN,trials_part1.thisIndex,skip_to_part4_debug.thisRepN,skip_to_part4_debug.thisTrialN,skip_to_part4_debug.thisN,skip_to_part4_debug.thisIndex,skip_loop_debug.thisRepN,skip_loop_debug.thisTrialN,skip_loop_debug.thisN,skip_loop_debug.thisIndex,key_part3_instructions.keys,key_part3_instructions.rt,key_part3_instructions.duration,part2_loop.thisRepN,part2_loop.thisTrialN,part2_loop.thisN,part2_loop.thisIndex,part3_loop.thisRepN,part3_loop.thisTrialN,part3_loop.thisN,part3_loop.thisIndex,visualization_loop.thisRepN,visualization_loop.thisTrialN,visualization_loop.thisN,visualization_loop.thisIndex,thisRow.t,notes,piloting,get_sub_vars.started,get_sub_vars.stopped,overall_instructions.started,text_instructions.started,key_welcome.started,overall_instructions.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,part1_instructions.started,text_instructions_part1.started,key_instructions_part1.started,part1_instructions.stopped,key_instructions_part1.keys,key_instructions_part1.rt,key_instructions_part1.duration,part1.started,scene_image_part1.started,scene_name_part1.started,text_scenename.started,text_memorize.started,key_sceneLearn.started,part1.stopped,trials_part1.key_sceneLearn.keys,trials_part1.key_sceneLearn.rt,trials_part1.key_sceneLearn.duration,part1_instructions_2.started,text_instructions_part1_2.started,key_instructions_part1_2.started,part1_instructions_2.stopped,key_instructions_part1_2.keys,key_instructions_part1_2.rt,key_instructions_part1_2.duration,part1_compare.started,image1.started,image2.started,image3.started,image4.started,textbox1.started,textbox2.started,textbox3.started,textbox4.started,key_compare.started,part1_compare.stopped,key_compare.keys,key_compare.rt,key_compare.duration,part2_instructions.started,text_instructions_part2.started,key_resp.started,part2_instructions.stopped,skip_to_part4_debug.key_resp.keys,skip_to_part4_debug.key_resp.rt,skip_to_part4_debug.key_resp.duration,part2.started,scene_part2.started,part2.stopped,part2_question.started,text_part2_question.started,key_part2.started,part2_question.stopped,part2_loop.key_part2.keys,part2_loop.key_part2.corr,part2_loop.key_part2.rt,part2_loop.key_part2.duration,part2_feedback.started,text_part2_feedback.started,text_part2_feedback.stopped,part2_feedback.stopped,scene_part2.stopped,part3_instructions.started,text_part3_instructions.started,key_part3_instructions.started,part3_instructions.stopped,skip_loop_debug.key_part3_instructions.keys,skip_loop_debug.key_part3_instructions.rt,skip_loop_debug.key_part3_instructions.duration,reset_vis_vars.started,reset_vis_vars.stopped,skip_answered_questions.started,skip_answered_questions.stopped,blank1000.started,text_2.started,text_2.stopped,blank1000.stopped,part3_visualize.started,text_visualize.started,textbox_scene_name.started,part3_visualize.stopped,part3_rate.started,text_rate.started,key_rate.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.003959099994972348,0.00402410002425313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_13h36.36.119,SBL_superimposed_training_task,,2026.1.3,120.10699125559286,2026-07-09 13h36.37.344513 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004044900008011609,0.007461700006388128,0.9993663000059314,1.9830263000330888,space,0.9756385000073351,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_13h36.36.119,SBL_superimposed_training_task,,2026.1.3,120.10699125559286,2026-07-09 13h36.37.344513 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.983066399989184,1.9908653000020422,1.9908653000020422,3.341368400026113,space,1.3440983000327833,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_13h36.36.119,SBL_superimposed_training_task,,2026.1.3,120.10699125559286,2026-07-09 13h36.37.344513 -0400,
U2,Malbow,stimuli/scenes/scene_U2.jpg,4,0,0,0,space,0.3623591000214219,None,,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,3.4315738000441343,,,,,,,,,,,,,,,,,,,3.4270973000093363,3.4315738000441343,3.4315738000441343,3.4315738000441343,3.4315738000441343,4.332627299998421,4.699943799991161,space,0.3623591000214219,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_13h36.36.119,SBL_superimposed_training_task,,2026.1.3,120.10699125559286,2026-07-09 13h36.37.344513 -0400,
J1,Negvi,stimuli/scenes/scene_J1.jpg,1,1,1,0,space,0.28347379999468103,None,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,4.763066400017124,,,,,,,,,,,,,,,,,,,4.758131700044032,4.763066400017124,4.763066400017124,4.763066400017124,4.763066400017124,5.691351699992083,5.983245100011118,space,0.28347379999468103,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_13h36.36.119,SBL_superimposed_training_task,,2026.1.3,120.10699125559286,2026-07-09 13h36.37.344513 -0400,
J2,Tulon,stimuli/scenes/scene_J2.jpg,2,2,2,0,space,0.21636950003448874,None,,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,6.0397969000041485,,,,,,,,,,,,,,,,,,,6.035542500030715,6.0397969000041485,6.0397969000041485,6.0397969000041485,6.0397969000041485,6.974432800023351,7.191385400015861,space,0.21636950003448874,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_13h36.36.119,SBL_superimposed_training_task,,2026.1.3,120.10699125559286,2026-07-09 13h36.37.344513 -0400,
U1,Somar,stimuli/scenes/scene_U1.jpg,3,3,3,0,space,0.2561841999995522,None,,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,7.252516100008506,,,,,,,,,,,,,,,,,,,7.248542200017255,7.252516100008506,7.252516100008506,7.252516100008506,7.252516100008506,8.182802900031675,8.441591900016647,space,0.2561841999995522,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_13h36.36.119,SBL_superimposed_training_task,,2026.1.3,120.10699125559286,2026-07-09 13h36.37.344513 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.441690900013782,8.449259200016968,8.449259200016968,9.791448500007391,space,1.3337560000363737,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_13h36.36.119,SBL_superimposed_training_task,,2026.1.3,120.10699125559286,2026-07-09 13h36.37.344513 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.901761699991766,9.92361440003151,9.92361440003151,9.92361440003151,9.92361440003151,9.92361440003151,9.92361440003151,9.92361440003151,9.92361440003151,9.92361440003151,11.083199199987575,space,1.155139600043185,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_13h36.36.119,SBL_superimposed_training_task,,2026.1.3,120.10699125559286,2026-07-09 13h36.37.344513 -0400,
,,,1,0,0,0,,,,stimuli/scenes/scene_J1.png,space,1.4121935000293888,None,1,1,0.3850937000242993,None,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,0,0,0,0,,,,,,,,,12.541139200038742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.083433700026944,11.090631700004451,11.090631700004451,12.507979799993336,space,1.4121935000293888,None,12.536583900044207,12.541139200038742,13.516120399988722,13.523712399997748,13.525948400027119,13.525948400027119,13.916692500002682,1,1,0.3850937000242993,None,13.919442699989304,13.924246900016442,14.923907399992459,14.907894500007387,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_13h36.36.119,SBL_superimposed_training_task,,2026.1.3,120.10699125559286,2026-07-09 13h36.37.344513 -0400,
,,,4,1,1,0,,,,stimuli/scenes/scene_U2.png,space,1.4121935000293888,None,4,1,0.23488689999794587,None,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,0,1,1,3,,,,,,,,,14.923907399992459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.920757699990645,14.923907399992459,15.90805020002881,15.908088100026362,15.916004800004885,15.916004800004885,16.158233800029848,4,1,0.23488689999794587,None,16.158301100018434,16.165828600001987,17.169018300017342,17.149269099987578,15.916004800004885,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_13h36.36.119,SBL_superimposed_training_task,,2026.1.3,120.10699125559286,2026-07-09 13h36.37.344513 -0400,
,,,2,2,2,0,,,,stimuli/scenes/scene_J2.png,space,1.4121935000293888,None,2,1,0.9929147000075318,None,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,0,2,2,1,,,,,,,,,17.169018300017342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.165054000040982,17.169018300017342,18.157873600022867,18.15791370003717,18.166049599996768,18.166049599996768,19.166366200021002,2,1,0.9929147000075318,None,19.166438499989454,19.174667900020722,20.17646990000503,20.15797320002457,18.166049599996768,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_13h36.36.119,SBL_superimposed_training_task,,2026.1.3,120.10699125559286,2026-07-09 13h36.37.344513 -0400,
,,,3,3,3,0,,,,stimuli/scenes/scene_U1.png,space,1.4121935000293888,None,3,1,0.20870610000565648,None,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,0,3,3,2,,,,,,,,,20.17646990000503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.17238390003331,20.17646990000503,21.166118399996776,21.166158100008033,21.17434960004175,21.17434960004175,21.39131850004196,3,1,0.20870610000565648,None,21.391455400036648,21.39966530003585,22.39093170000706,22.383008900040295,21.17434960004175,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_13h36.36.119,SBL_superimposed_training_task,,2026.1.3,120.10699125559286,2026-07-09 13h36.37.344513 -0400,
,,,,0,0,0,,,,,,,,,,,,3,What type of vegetation was most visually prominent?,"1. Wide wing-like trees and green leaves
2.Tall trees with vines and moss
3. Bright tropical flowers and open palm trees",2,Tulon,stimuli/scenes/scene_J2.jpg,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,3,24.796864700037986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.38469650002662,22.39093170000706,22.39093170000706,24.766360000008717,space,2.3679279999923892,None,24.766644500021357,24.76668639999116,24.7944228000124,24.794471100030933,24.794489299994893,24.796864700037986,25.817045400035568,25.782768800039776,25.79235470003914,25.817045400035568,25.817045400035568,29.800097300030757,29.800131600000896,29.807826800039038,29.807826800039038,,,,,,,,,
