scene_stimulus,scene_label,scene_img,correct_key,thisN,thisTrialN,thisRepN,key_sceneLearn.keys,key_sceneLearn.rt,key_sceneLearn.duration,scene_cat,item_stimulus,item_cat,item_type,congruency,key_resp_congruency.keys,key_resp_congruency.corr,key_resp_context.keys,key_resp_context.corr,key_resp_context.rt,key_resp_context.duration,key_resp_context_conf.keys,key_resp_context_conf.rt,key_resp_context_conf.duration,key_resp_scenes.keys,key_resp_scenes.corr,key_resp_scenes.rt,key_resp_scenes.duration,key_resp_scene_conf.keys,key_resp_scene_conf.rt,key_resp_scene_conf.duration,trials_part1.thisRepN,trials_part1.thisTrialN,trials_part1.thisN,trials_part1.thisIndex,skip_to_part4_debug.thisRepN,skip_to_part4_debug.thisTrialN,skip_to_part4_debug.thisN,skip_to_part4_debug.thisIndex,trials_enc.thisRepN,trials_enc.thisTrialN,trials_enc.thisN,trials_enc.thisIndex,trials_retrieval.thisRepN,trials_retrieval.thisTrialN,trials_retrieval.thisN,trials_retrieval.thisIndex,thisRow.t,notes,piloting,get_sub_vars.started,get_sub_vars.stopped,overall_instructions.started,text_instructions.started,key_welcome.started,overall_instructions.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,part1_instructions.started,text_instructions_part1.started,key_instructions_part1.started,part1_instructions.stopped,key_instructions_part1.keys,key_instructions_part1.rt,key_instructions_part1.duration,part1.started,scene_image_part1.started,scene_name_part1.started,text_scenename.started,text_memorize.started,key_sceneLearn.started,part1.stopped,trials_part1.key_sceneLearn.keys,trials_part1.key_sceneLearn.rt,trials_part1.key_sceneLearn.duration,part1_instructions_2.started,text_instructions_part1_2.started,key_instructions_part1_2.started,part1_instructions_2.stopped,key_instructions_part1_2.keys,key_instructions_part1_2.rt,key_instructions_part1_2.duration,part1_compare.started,image1.started,image2.started,image3.started,image4.started,textbox1.started,textbox2.started,textbox3.started,textbox4.started,key_compare.started,part1_compare.stopped,key_compare.keys,key_compare.rt,key_compare.duration,part4_instructions.started,text_part4_instructions.started,key_part4_instructions.started,part4_instructions.stopped,key_part4_instructions.keys,key_part4_instructions.rt,key_part4_instructions.duration,enc_instruction_screen.started,text_enc_instruction.started,key_proceed.started,enc_instruction_screen.stopped,key_proceed.keys,key_proceed.rt,key_proceed.duration,enc_inst_2.started,text_relatedness_keys.started,key_proceed_2.started,enc_inst_2.stopped,key_proceed_2.keys,key_proceed_2.rt,key_proceed_2.duration,get_stim_list.started,get_stim_list.stopped,scene_item_presentation.started,image_scene.started,image_item.started,scene_item_presentation.stopped,congruency_response.started,text_congruency.started,key_resp_congruency.started,text_congruency.stopped,key_resp_congruency.stopped,congruency_response.stopped,trials_enc.key_resp_congruency.keys,trials_enc.key_resp_congruency.corr,blank1000_2.started,text_6.started,text_6.stopped,blank1000_2.stopped,image_scene.stopped,image_item.stopped,ret_inst_gen.started,text_7.started,ret_inst_gen.stopped,key_continue_7.keys,key_continue_7.rt,key_continue_7.duration,ret_inst_1.started,image_inst1.started,key_continue.started,ret_inst_1.stopped,key_continue.keys,key_continue.rt,key_continue.duration,ret_inst_2.started,image_inst2.started,ret_inst_2.stopped,key_continue_2.keys,key_continue_2.rt,key_continue_2.duration,ret_inst_3.started,image_inst3.started,ret_inst_3.stopped,key_continue_3.keys,key_continue_3.rt,key_continue_3.duration,ret_inst_4.started,image_inst4.started,ret_inst_4.stopped,key_continue_4.keys,key_continue_4.rt,key_continue_4.duration,ret_inst_5.started,image_inst5.started,ret_inst_5.stopped,key_continue_5.keys,key_continue_5.rt,key_continue_5.duration,ret_inst_6.started,image_inst6.started,ret_inst_6.stopped,key_continue_6.keys,key_continue_6.rt,key_continue_6.duration,item_imagine_scene.started,item_cue.started,item_imagine_scene.stopped,select_context.started,text_contrext_headline.started,text_sea.started,text_jungle.started,key_resp_context.started,select_context.stopped,trials_retrieval.key_resp_context.keys,trials_retrieval.key_resp_context.corr,trials_retrieval.key_resp_context.rt,trials_retrieval.key_resp_context.duration,blank500.started,text_blank.started,text_blank.stopped,blank500.stopped,context_confidence.started,text_context_choice.started,slider_context_conf.started,key_resp_context_conf.started,context_confidence.stopped,trials_retrieval.key_resp_context_conf.keys,trials_retrieval.key_resp_context_conf.rt,trials_retrieval.key_resp_context_conf.duration,select_scene_name.started,text_scene_headline.started,text_actual_context.started,text_q_scene.started,text_labels.started,key_resp_scenes.started,select_scene_name.stopped,trials_retrieval.key_resp_scenes.keys,trials_retrieval.key_resp_scenes.corr,trials_retrieval.key_resp_scenes.rt,trials_retrieval.key_resp_scenes.duration,select_confidence.started,text_chosen_scene.started,slider_scene_conf.started,key_resp_scene_conf.started,select_confidence.stopped,trials_retrieval.key_resp_scene_conf.keys,trials_retrieval.key_resp_scene_conf.rt,trials_retrieval.key_resp_scene_conf.duration,blank3000.started,text_blank3000.started,text_blank3000.stopped,blank3000.stopped,item_cue.stopped,text_contrext_headline.stopped,text_sea.stopped,text_jungle.stopped,key_resp_context.stopped,key_resp_context_conf.stopped,text_context_choice.stopped,slider_context_conf.stopped,text_scene_headline.stopped,text_actual_context.stopped,text_q_scene.stopped,text_labels.stopped,key_resp_scenes.stopped,text_chosen_scene.stopped,slider_scene_conf.stopped,key_resp_scene_conf.stopped,end_screen_2.started,text_end_screen.started,key_resp_exit.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.493055500090122,12.500966599909589,15.484236599877477,16.018162399996072,space,0.525980900041759,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_12h07.34.045,SBL_superimposed_training_task,,2026.1.3,118.94538282480787,2026-07-09 12h07.35.289985 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.02789969998412,16.030364899896085,19.00930629996583,20.001446600072086,space,0.9848768999800086,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_12h07.34.045,SBL_superimposed_training_task,,2026.1.3,118.94538282480787,2026-07-09 12h07.35.289985 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.001491100061685,20.00152559997514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_12h07.34.045,SBL_superimposed_training_task,,2026.1.3,118.94538282480787,2026-07-09 12h07.35.289985 -0400,
stimuli/scenes/scene_U2.jpg,Malbow,,,0,0,0,,,,Undersea,stimuli/items/jungle_animals_26.png,Jungle,animal,si,None,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,9,,,,,20.043188099982217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.037516199983656,20.043188099982217,20.043188099982217,22.009514899924397,22.01421510009095,22.01730370009318,22.01730370009318,23.00894539989531,23.00894539989531,23.00100230006501,None,0,23.001050499966368,23.00894539989531,24.020951699931175,23.9926456999965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_12h07.34.045,SBL_superimposed_training_task,,2026.1.3,118.94538282480787,2026-07-09 12h07.35.289985 -0400,
stimuli/scenes/scene_U1.jpg,Somar,,,1,1,0,,,,Undersea,stimuli/items/undersea_objects_8.png,Undersea,object,sc,None,0,,,,,,,,,,,,,,,,,,,,,,,0,1,1,6,,,,,24.020951699931175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.017105600098148,24.020951699931175,24.020951699931175,26.009449200006202,26.009500300046057,26.017400899901986,26.017400899901986,27.009105700068176,27.009105700068176,27.0009631998837,None,0,27.00101389992051,27.009105700068176,28.025717499898747,27.992720199981704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_12h07.34.045,SBL_superimposed_training_task,,2026.1.3,118.94538282480787,2026-07-09 12h07.35.289985 -0400,
stimuli/scenes/scene_J1.jpg,Negvi,,,2,2,0,,,,Jungle,stimuli/items/other_objects_41.png,Other,object,si,None,0,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,28.025717499898747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.019462999887764,28.025717499898747,28.025717499898747,30.009436500025913,30.009485899936408,30.01735149999149,30.01735149999149,31.00926379999146,31.00926379999146,31.001067799981683,None,0,31.001122999936342,31.00926379999146,32.02868640003726,31.99276589998044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_12h07.34.045,SBL_superimposed_training_task,,2026.1.3,118.94538282480787,2026-07-09 12h07.35.289985 -0400,
stimuli/scenes/scene_J2.jpg,Tulon,,,3,3,0,,,,Jungle,stimuli/items/undersea_animals_18.png,Undersea,animal,si,None,0,,,,,,,,,,,,,,,,,,,,,,,0,3,3,5,,,,,32.02868640003726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.02069699997082,32.02868640003726,32.02868640003726,34.00987760000862,34.00992579990998,34.01776509988122,34.01776509988122,35.00946020008996,35.00946020008996,35.001632099971175,None,0,35.00170210003853,35.00946020008996,36.02154959994368,35.99277190002613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_12h07.34.045,SBL_superimposed_training_task,,2026.1.3,118.94538282480787,2026-07-09 12h07.35.289985 -0400,
stimuli/scenes/scene_U1.jpg,Somar,,,4,4,0,,,,Undersea,stimuli/items/other_animals_39.png,Other,animal,si,None,0,,,,,,,,,,,,,,,,,,,,,,,0,4,4,8,,,,,36.02154959994368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.01639669993892,36.02154959994368,36.02154959994368,38.00965079991147,38.009702699957415,38.01755469990894,38.01755469990894,,,39.001663899980485,None,0,39.0017705000937,39.009713700041175,40.01564179989509,39.99322080006823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_12h07.34.045,SBL_superimposed_training_task,,2026.1.3,118.94538282480787,2026-07-09 12h07.35.289985 -0400,
stimuli/scenes/scene_U1.jpg,Somar,,,5,5,0,,,,Undersea,stimuli/items/undersea_animals_31.png,Undersea,animal,sc,None,0,,,,,,,,,,,,,,,,,,,,,,,0,5,5,7,,,,,40.01564179989509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.01153349992819,40.01564179989509,40.01564179989509,42.00182959996164,42.00192190008238,42.009668099926785,42.009668099926785,43.00139699992724,43.00139699992724,42.99324589991011,None,0,42.99329730006866,43.00139699992724,44.01397549989633,43.985111200017855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_12h07.34.045,SBL_superimposed_training_task,,2026.1.3,118.94538282480787,2026-07-09 12h07.35.289985 -0400,
stimuli/scenes/scene_U2.jpg,Malbow,,,6,6,0,,,,Undersea,stimuli/items/jungle_animals_10.png,Jungle,animal,si,None,0,,,,,,,,,,,,,,,,,,,,,,,0,6,6,10,,,,,44.01397549989633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0100664999336,44.01397549989633,44.01397549989633,46.00138569995761,46.001426900038496,46.009891099995,46.009891099995,47.001520100049675,47.001520100049675,46.99295790004544,None,0,46.9930104999803,47.001520100049675,48.016180200036615,47.98485779995099,46.009891099995,46.009891099995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,1,2026-07-09_12h07.34.045,SBL_superimposed_training_task,,2026.1.3,118.94538282480787,2026-07-09 12h07.35.289985 -0400,
