instruction_screen.started,instruction_screen.stopped,key_resp_inst.keys,key_resp_inst.rt,key_resp_inst.duration,participant,session,delay,group,date,expName,psychopyVersion,OS,frameRate,set_options.started,set_options.stopped,trial.started,trial.stopped,key_resp_eq.keys,key_resp_eq.corr,key_resp_eq.rt,key_resp_eq.duration,pause.started,pause.stopped,feedback.started,feedback.stopped,is_rest.started,is_rest.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,math_eq,CorrAns,dstr1,dstr2,CorrAns_key,rest_screen.started,rest_screen.stopped,Q1.started,Q1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,end_screen.started,end_screen.stopped,key_resp.keys,key_resp.rt,key_resp.duration
0.001,7.091,space,6.545,0.001,102,1,short,A,2024-08-26_09h31.18.251,arithmetic_task,2024.1.5,Win32,3.52858151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,102,1,short,A,2024-08-26_09h31.18.251,arithmetic_task,2024.1.5,Win32,3.52858151,7.116,7.118,7.118,11.267,1,0,4.124,,11.27,13.101,13.101,16.196,16.197,16.197,0,0,0,0,1,42 - 9,33,31,23,2,,,,,,,,,,,,
,,,,,102,1,short,A,2024-08-26_09h31.18.251,arithmetic_task,2024.1.5,Win32,3.52858151,16.203,16.205,16.205,18.994,1,0,2.774,0,18.996,20.997,20.997,23.966,23.966,23.966,0,1,1,1,1,11 * 3,33,31,38,1,,,,,,,,,,,,
,,,,,102,1,short,A,2024-08-26_09h31.18.251,arithmetic_task,2024.1.5,Win32,3.52858151,23.983,23.985,23.985,28.297,2,0,4.294,0,28.299,30.06,30.06,33.13,33.13,33.13,0,2,2,2,1,118 / 2,59,63,57,2,,,,,,,,,,,,
,,,,,102,1,short,A,2024-08-26_09h31.18.251,arithmetic_task,2024.1.5,Win32,3.52858151,33.149,33.151,33.151,39.398,2,0,6.234,0,39.399,41.211,41.211,44.008,44.008,44.008,0,3,3,3,1,36 - 13,23,28,22,2,,,,,,,,,,,,
,,,,,102,1,short,A,2024-08-26_09h31.18.251,arithmetic_task,2024.1.5,Win32,3.52858151,44.038,44.038,44.038,49.076,2,0,5.028,,49.078,50.907,50.908,53.619,53.62,53.62,0,4,4,4,1,38 - 12,26,23,36,2,,,,,,,,,,,,
,,,,,102,1,short,A,2024-08-26_09h31.18.251,arithmetic_task,2024.1.5,Win32,3.52858151,53.64,53.641,53.641,58.002,1,0,4.348,,58.004,59.894,59.894,62.748,62.749,62.749,0,5,5,5,1,38 + 26,64,54,62,1,,,,,,,,,,,,
,,,,,102,1,short,A,2024-08-26_09h31.18.251,arithmetic_task,2024.1.5,Win32,3.52858151,62.778,62.779,62.779,68.194,3,0,5.4,0.001,68.196,69.992,69.992,73.013,73.013,73.013,0,6,6,6,1,108 / 2,54,56,64,2,,,,,,,,,,,,
,,,,,102,1,short,A,2024-08-26_09h31.18.251,arithmetic_task,2024.1.5,Win32,3.52858151,73.042,73.044,73.044,77.015,2,0,3.957,0.001,77.018,79.084,79.084,81.873,81.873,81.873,0,7,7,7,1,15 * 2,30,27,26,2,,,,,,,,,,,,
,,,,,102,1,short,A,2024-08-26_09h31.18.251,arithmetic_task,2024.1.5,Win32,3.52858151,81.894,81.897,81.897,85.685,2,0,3.774,0.001,85.686,87.685,87.685,90.771,90.771,90.771,0,8,8,8,1,30 - 14,16,17,18,2,,,,,,,,,,,,
