instruction_screen.started,instruction_screen.stopped,key_resp_inst.keys,key_resp_inst.rt,key_resp_inst.duration,participant,session,delay,group,date,expName,psychopyVersion,OS,frameRate,set_options.started,set_options.stopped,trial.started,trial.stopped,key_resp_eq.keys,key_resp_eq.corr,key_resp_eq.rt,key_resp_eq.duration,pause.started,pause.stopped,feedback.started,feedback.stopped,is_rest.started,is_rest.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,math_eq,CorrAns,dstr1,dstr2,CorrAns_key,Q1.started,Q1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,end_screen.started,end_screen.stopped,key_resp.keys,key_resp.rt,key_resp.duration
0.0003,21.4625,space,21.439,,101,1,short,A,2024-08-26_10h04.23.653,arithmetic_task,2024.1.5,MacIntel,75.18796992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,101,1,short,A,2024-08-26_10h04.23.653,arithmetic_task,2024.1.5,MacIntel,75.18796992,21.4717,21.4721,21.4722,23.7978,2,0,2.3083,,23.7985,25.7984,25.7987,28.7992,28.7996,28.7999,0,0,0,0,1,42 - 9,33,31,23,2,,,,,,,,,,
,,,,,101,1,short,A,2024-08-26_10h04.23.653,arithmetic_task,2024.1.5,MacIntel,75.18796992,28.8023,28.8026,28.8026,30.0263,1,0,1.2104,,30.0267,32.0269,32.0269,35.0279,35.028,35.028,0,1,1,1,1,11 * 3,33,31,38,1,,,,,,,,,,
,,,,,101,1,short,A,2024-08-26_10h04.23.653,arithmetic_task,2024.1.5,MacIntel,75.18796992,,,,,,,,,,,,,,,,,,,,,,,,,35.0295,36.9355,2,1.8837,,,,,,
,,,,,101,1,short,A,2024-08-26_10h04.23.653,arithmetic_task,2024.1.5,MacIntel,75.18796992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.9357,39.4032,space,2.4426,
