math_eq,CorrAns,dstr1,dstr2,CorrAns_key,thisN,thisTrialN,thisRepN,key_resp_eq.keys,key_resp_eq.corr,key_resp_eq.rt,key_resp_eq.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_rest.thisRepN,loop_rest.thisTrialN,loop_rest.thisN,loop_rest.thisIndex,thisRow.t,notes,piloting,instruction_screen.started,text_instruction.started,key_resp_inst.started,instruction_screen.stopped,key_resp_inst.keys,key_resp_inst.rt,key_resp_inst.duration,set_options.started,set_options.stopped,trial.started,text_equation.started,text_opt1.started,text_opt2.started,text_opt3.started,trial.stopped,trials.key_resp_eq.keys,trials.key_resp_eq.corr,trials.key_resp_eq.rt,trials.key_resp_eq.duration,pause.started,text_2.started,text_2.stopped,pause.stopped,feedback.started,text_feedback.started,text_feedback.stopped,feedback.stopped,is_rest.started,is_rest.stopped,rest_screen.started,text.started,text.stopped,rest_screen.stopped,text_equation.stopped,text_opt1.stopped,text_opt2.stopped,text_opt3.stopped,Q1.started,text_q1.started,key_resp_2.started,Q1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,end_screen.started,text_endscreen.started,key_resp.started,key_resp.stopped,text_endscreen.stopped,end_screen.stopped,key_resp.keys,participant,session,delay,group,date,expName,expVersion,psychopyVersion,frameRate,expStart,
36 - 13,23,28,22,2,3,3,0,2,0,3.6563844000920653,None,0,3,3,3,,,,,35.40071880002506,,,,,,,,,,35.39123570010997,35.391443100059405,35.397961100097746,35.40071880002506,35.40071880002506,35.40071880002506,35.40071880002506,39.06287580006756,2,0,3.6563844000920653,None,39.06300920015201,39.07031990005635,41.06190050020814,41.05427230009809,41.054306800011545,41.06190050020814,44.05795220006257,44.04595450009219,44.04598160018213,44.04616630007513,,,,,,,,,,,,,,,,,,,,,,,202,1,short,A,2026-07-10_10h11.24.750,arithmetic_task,,2026.1.3,119.76220026057051,2026-07-10 10h11.24.844884 -0400,
38 - 12,26,23,36,2,4,4,0,2,0,2.2791172000579536,None,0,4,4,4,,,,,44.05795220006257,,,,,,,,,,44.049856500001624,44.050062000053,44.05537419999018,44.05795220006257,44.05795220006257,44.05795220006257,44.05795220006257,46.33793730009347,2,0,2.2791172000579536,None,46.33806890016422,46.345660800114274,48.33749990002252,48.329401600174606,48.329438199987635,48.33749990002252,51.33523670001887,51.321264600148425,51.32129150000401,51.32147630001418,,,,,,,,,,,,,,,,,,,,,,,202,1,short,A,2026-07-10_10h11.24.750,arithmetic_task,,2026.1.3,119.76220026057051,2026-07-10 10h11.24.844884 -0400,
38 + 26,64,54,62,1,5,5,0,2,0,5.978334899991751,None,0,5,5,5,,,,,51.33523670001887,,,,,,,,,,51.32519830018282,51.32540890015662,51.33256550016813,51.33523670001887,51.33523670001887,51.33523670001887,51.33523670001887,57.31283640000038,2,0,5.978334899991751,None,57.312970800092444,57.32076570019126,59.312462700065225,59.304230500012636,59.307159800082445,59.312462700065225,62.308637000154704,62.29601400019601,62.296042600180954,62.296230300096795,,,,,,,,,,,,,,,,,,,,,,,202,1,short,A,2026-07-10_10h11.24.750,arithmetic_task,,2026.1.3,119.76220026057051,2026-07-10 10h11.24.844884 -0400,
108 / 2,54,56,64,2,6,6,0,3,0,4.252365899970755,None,0,6,6,6,,,,,62.308637000154704,,,,,,,,,,62.30001060012728,62.300225800136104,62.306007500039414,62.308637000154704,62.308637000154704,62.308637000154704,62.308637000154704,66.56331680016592,3,0,4.252365899970755,None,66.56345980009064,66.57093440019526,68.56274339999072,68.55443200003356,68.55446820007637,68.56274339999072,71.5605011000298,71.54640350001864,71.54642980010249,71.54661210021004,,,,,,,,,,,,,,,,,,,,,,,202,1,short,A,2026-07-10_10h11.24.750,arithmetic_task,,2026.1.3,119.76220026057051,2026-07-10 10h11.24.844884 -0400,
15 * 2,30,27,26,2,7,7,0,2,0,1.768544799881056,None,0,7,7,7,,,,,71.5605011000298,,,,,,,,,,71.55033930018544,71.55054880003445,71.55782950017601,71.5605011000298,71.5605011000298,71.5605011000298,71.5605011000298,73.32980310008861,2,0,1.768544799881056,None,73.32993380003609,73.33768190001138,75.32934120018035,75.3211480001919,75.32263120007701,75.32934120018035,78.32543760002591,78.31331560015678,78.31334290001541,78.31353240017779,,,,,,,,,,,,,,,,,,,,,,,202,1,short,A,2026-07-10_10h11.24.750,arithmetic_task,,2026.1.3,119.76220026057051,2026-07-10 10h11.24.844884 -0400,
30 - 14,16,17,18,2,8,8,0,2,0,1.7230646000243723,None,0,8,8,8,,,,,78.32543760002591,,,,,,,,,,78.31727190013044,78.31748010008596,78.32296110014431,78.32543760002591,78.32543760002591,78.32543760002591,78.32543760002591,80.04677770007402,2,0,1.7230646000243723,None,80.04692350002006,80.05456020007841,82.04616999998689,82.03838020004332,82.03841740009375,82.04616999998689,85.04204339999706,85.0301841001492,85.03022010019049,85.03040930000134,,,,,,,,,,,,,,,,,,,,,,,202,1,short,A,2026-07-10_10h11.24.750,arithmetic_task,,2026.1.3,119.76220026057051,2026-07-10 10h11.24.844884 -0400,
13 * 2,26,24,23,3,9,9,0,3,0,1.6147043001838028,None,0,9,9,9,0,0,0,0,91.64631800004281,,,,,,,,,,85.03390999999829,85.03411720017903,85.03974740020931,85.04204339999706,85.04204339999706,85.04204339999706,85.04204339999706,86.65519250021316,3,0,1.6147043001838028,None,86.65534420008771,86.66295890021138,88.65465420018882,88.64686720003374,88.64690240006894,88.65465420018882,91.64631800004281,91.63838200015016,91.63840870000422,91.63859750004485,91.63882380002178,91.64631800004281,101.64282539999112,101.6306493000593,,,,,,,,,,,,,,,,,,,202,1,short,A,2026-07-10_10h11.24.750,arithmetic_task,,2026.1.3,119.76220026057051,2026-07-10 10h11.24.844884 -0400,
31 + 10,41,39,32,3,10,10,0,3,0,2.710062500089407,None,0,10,10,10,,,,,101.64282539999112,,,,,,,,,,101.63414570013992,101.63435860001482,101.6401456000749,101.64282539999112,101.64282539999112,101.64282539999112,101.64282539999112,104.35528870020062,3,0,2.710062500089407,None,104.35542480018921,104.36309960018843,106.35498620010912,106.34702560002916,106.34706140006892,106.35498620010912,109.35237219999544,109.33855470013805,109.33858210011385,109.33876530011185,,,,,,,,,,,,,,,,,,,,,,,202,1,short,A,2026-07-10_10h11.24.750,arithmetic_task,,2026.1.3,119.76220026057051,2026-07-10 10h11.24.844884 -0400,
27 - 14,13,10,23,1,11,11,0,1,0,4.808264399878681,None,0,11,11,11,,,,,109.35237219999544,,,,,,,,,,109.34221160016023,109.34245080011897,109.3498257000465,109.35237219999544,109.35237219999544,109.35237219999544,109.35237219999544,114.16444310010411,1,0,4.808264399878681,None,114.16457580006681,114.17191210016608,116.16381040005945,116.15551990014501,116.15555630018935,116.16381040005945,119.15934110013768,119.14697510004044,119.14700230001472,119.14722580020316,,,,,,,,,,,,,,,,,,,,,,,202,1,short,A,2026-07-10_10h11.24.750,arithmetic_task,,2026.1.3,119.76220026057051,2026-07-10 10h11.24.844884 -0400,
27 + 18,45,47,52,1,12,12,0,None,0,,,0,12,12,12,,,,,119.15934110013768,,,,,,,,,,119.15067700017244,119.1508864001371,119.15668770018965,119.15934110013768,119.15934110013768,119.15934110013768,119.15934110013768,129.14753620000556,None,0,,,129.14770440012217,129.15569150005467,131.1470306001138,131.13898880011402,131.14068670012057,131.1470306001138,134.14352939999662,134.13116330001503,134.13119009998627,134.1313756001182,,,,,129.15569150005467,129.15569150005467,129.15569150005467,129.15569150005467,,,,,,,,,,,,,,,202,1,short,A,2026-07-10_10h11.24.750,arithmetic_task,,2026.1.3,119.76220026057051,2026-07-10 10h11.24.844884 -0400,
37 + 18,55,47,45,2,13,13,0,3,0,5.169077799888328,None,0,13,13,13,,,,,134.14352939999662,,,,,,,,,,134.13491450017318,134.1351584000513,134.1410245001316,134.14352939999662,134.14352939999662,134.14352939999662,134.14352939999662,139.31470520002767,3,0,5.169077799888328,None,139.31484340014867,139.32216179999523,141.3138858000748,141.30592080019414,141.30595720000565,141.3138858000748,144.31018920009956,144.29785880004056,144.29788570012897,144.29807050013915,,,,,,,,,,,,,,,,,,,,,,,202,1,short,A,2026-07-10_10h11.24.750,arithmetic_task,,2026.1.3,119.76220026057051,2026-07-10 10h11.24.844884 -0400,
112 / 2,56,52,46,1,14,14,0,1,0,3.2907489999197423,None,0,14,14,14,,,,,144.31018920009956,,,,,,,,,,144.30158660002053,144.30179710010998,144.30758300004527,144.31018920009956,144.31018920009956,144.31018920009956,144.31018920009956,147.60676410002634,1,0,3.2907489999197423,None,147.60689610010013,147.61429280019365,149.60567740001716,149.59807060007006,149.5995398000814,149.60567740001716,152.60154920001514,152.5895548001863,152.58958210004494,152.58976900018752,,,,,,,,,,,,,,,,,,,,,,,202,1,short,A,2026-07-10_10h11.24.750,arithmetic_task,,2026.1.3,119.76220026057051,2026-07-10 10h11.24.844884 -0400,
110 / 2,55,59,57,2,15,15,0,2,0,2.247201699996367,None,0,15,15,15,,,,,152.60154920001514,,,,,,,,,,152.59326770016924,152.5934778000228,152.59915300016291,152.60154920001514,152.60154920001514,152.60154920001514,152.60154920001514,154.84802370006219,2,0,2.247201699996367,None,154.8481551001314,154.85579900001176,156.84766450012103,156.8396509999875,156.839687500149,156.84766450012103,159.84313650010154,159.83099300018512,159.83102000015788,159.83120900020003,,,,,,,,,,,,,,,,,,,,,,,202,1,short,A,2026-07-10_10h11.24.750,arithmetic_task,,2026.1.3,119.76220026057051,2026-07-10 10h11.24.844884 -0400,
22 + 14,36,46,38,3,16,16,0,3,0,2.2861317999195307,None,0,16,16,16,,,,,159.84313650010154,,,,,,,,,,159.83472010004334,159.8349360001739,159.8405691999942,159.84313650010154,159.84313650010154,159.84313650010154,159.84313650010154,162.13173610018566,3,0,2.2861317999195307,None,162.13186830002815,162.13927590008825,164.1312692000065,164.1231429001782,164.12317980010994,164.1312692000065,167.1263956001494,167.1147630000487,167.1147904000245,167.11497670016252,,,,,,,,,,,,,,,,,,,,,,,202,1,short,A,2026-07-10_10h11.24.750,arithmetic_task,,2026.1.3,119.76220026057051,2026-07-10 10h11.24.844884 -0400,
32 - 9,23,29,21,3,17,17,0,3,0,3.018469800008461,None,0,17,17,17,,,,,167.1263956001494,,,,,,,,,,167.11844800016843,167.1186607000418,167.12407520017587,167.1263956001494,167.1263956001494,167.1263956001494,167.1263956001494,170.14821460004896,3,0,3.018469800008461,None,170.14835070003755,170.15588480001315,172.1475928002037,172.13955640001222,172.139592200052,172.1475928002037,175.14344500005245,175.13128700014204,175.13131440011784,175.1315115999896,,,,,,,,,,,,,,,,,,,,,,,202,1,short,A,2026-07-10_10h11.24.750,arithmetic_task,,2026.1.3,119.76220026057051,2026-07-10 10h11.24.844884 -0400,
18 * 3,54,52,44,3,18,18,0,3,0,2.8731066999025643,None,0,18,18,18,,,,,175.14344500005245,,,,,,,,,,175.13505280017853,175.13526610005647,175.14099030010402,175.14344500005245,175.14344500005245,175.14344500005245,175.14344500005245,178.01502460008487,3,0,2.8731066999025643,None,178.01518480014056,178.02262020017952,180.01422230014578,180.00681910011917,180.0068550000433,180.01422230014578,183.01064760005102,182.99836229998618,182.99838990019634,182.99857870000415,,,,,,,,,,,,,,,,,,,,,,,202,1,short,A,2026-07-10_10h11.24.750,arithmetic_task,,2026.1.3,119.76220026057051,2026-07-10 10h11.24.844884 -0400,
33 - 6,27,29,26,2,19,19,0,3,0,4.542387400055304,None,0,19,19,19,0,0,0,0,192.54779990017414,,,,,,,,,,183.00216320017353,183.00237490003929,183.00796090019867,183.01064760005102,183.01064760005102,183.01064760005102,183.01064760005102,187.55674200016074,3,0,4.542387400055304,None,187.55687410011888,187.56475230003707,189.55620680004358,189.54820630000904,189.54988489998505,189.55620680004358,192.54779990017414,192.53997960011475,192.5400074000936,192.54019189998507,192.5404196002055,192.54779990017414,202.54415510012768,202.5322438001167,,,,,,,,,,,,,,,,,,,202,1,short,A,2026-07-10_10h11.24.750,arithmetic_task,,2026.1.3,119.76220026057051,2026-07-10 10h11.24.844884 -0400,
19 * 3,57,50,53,3,20,20,0,3,0,2.4326965999789536,None,0,20,20,20,,,,,202.54415510012768,,,,,,,,,,202.53583790012635,202.53605840005912,202.54175240010954,202.54415510012768,202.54415510012768,202.54415510012768,202.54415510012768,204.98250970011577,3,0,2.4326965999789536,None,204.98264260008,204.99024379998446,206.98175900010392,206.97393089998513,206.97536929999478,206.98175900010392,209.9782124001067,209.96559380018152,209.9656210001558,209.96581100020558,,,,,,,,,,,,,,,,,,,,,,,202,1,short,A,2026-07-10_10h11.24.750,arithmetic_task,,2026.1.3,119.76220026057051,2026-07-10 10h11.24.844884 -0400,
