instruction_screen.started,instruction_screen.stopped,key_resp_inst.keys,key_resp_inst.rt,key_resp_inst.duration,participant,session,delay,group,date,expName,psychopyVersion,OS,frameRate,set_options.started,set_options.stopped,trial.started,trial.stopped,key_resp_eq.keys,key_resp_eq.corr,pause.started,pause.stopped,feedback.started,feedback.stopped,is_rest.started,is_rest.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,math_eq,CorrAns,dstr1,dstr2,CorrAns_key,key_resp_eq.rt,key_resp_eq.duration,rest_screen.started,rest_screen.stopped,Q1.started,Q1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,end_screen.started,end_screen.stopped,key_resp.keys,key_resp.rt,key_resp.duration
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,377.2047,377.2047,377.2047,379.9484,1,0,379.9487,381.9444,381.9445,384.9404,384.9404,384.9404,0,34,34,34,1,19 * 2,38,37,32,1,2.7411,,,,,,,,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,384.9477,384.9479,384.9479,387.5282,2,0,387.5283,389.5236,389.5236,392.5193,392.5194,392.5194,0,35,35,35,1,28 + 19,47,50,45,2,2.576,,,,,,,,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,392.527,392.5271,392.5271,396.3452,2,0,396.3455,398.3443,398.3444,401.3445,401.3445,401.3445,0,36,36,36,1,31 + 23,54,47,57,2,3.8127,,,,,,,,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,401.3519,401.3521,401.3521,405.8239,2,0,405.8241,407.8234,407.8234,410.8237,410.8238,410.8238,0,37,37,37,1,22 + 20,42,38,51,2,4.47,,,,,,,,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,410.8313,410.8315,410.8315,413.1966,1,0,413.1967,415.1905,415.1906,418.1907,418.1907,418.1907,0,38,38,38,1,39 - 11,28,19,18,1,2.3599,,,,,,,,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,418.1994,418.1995,418.1995,421.5699,3,0,421.5701,423.5694,423.5695,426.5688,426.5688,426.5688,0,39,39,39,1,31 + 43,74,73,64,3,3.362,,426.5757,441.5732,,,,,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,441.581,441.5811,441.5811,444.5319,1,0,444.5321,446.5324,446.5324,449.5289,449.529,449.529,0,40,40,40,1,30 + 22,52,58,53,1,2.9467,,,,,,,,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,449.536,449.5362,449.5362,452.1097,1,0,452.1099,454.1116,454.1117,457.1069,457.107,457.107,0,41,41,41,1,25 - 14,11,2,6,1,2.5666,,,,,,,,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,457.1149,457.1151,457.1151,460.3781,3,0,460.3783,462.3768,462.3768,465.3744,465.3745,465.3745,0,42,42,42,1,100 / 4,25,20,22,3,3.2562,,,,,,,,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,465.3834,465.3835,465.3836,471.2906,3,0,471.2909,473.286,473.286,476.2864,476.2864,476.2865,0,43,43,43,1,58 - 13,45,55,44,3,5.9009,,,,,,,,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,476.2946,476.2947,476.2948,478.2201,2,0,478.2202,480.219,480.2191,483.2201,483.2201,483.2201,0,44,44,44,1,33 + 22,55,52,53,2,1.9197,,,,,,,,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,483.2241,483.2241,483.2241,485.8698,2,0,485.87,487.8638,487.8639,490.8609,490.8609,490.8609,0,45,45,45,1,24 - 14,10,20,11,2,2.6392,,,,,,,,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,490.869,490.8691,490.8691,496.2038,3,0,496.204,498.1982,498.1982,501.1945,501.1945,501.1945,0,46,46,46,1,118 / 2,59,55,57,3,5.3297,,,,,,,,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,501.2024,501.2025,501.2026,505.2948,1,0,505.295,507.2935,507.2936,510.2908,510.2909,510.2909,0,47,47,47,1,14 * 2,28,38,16,1,4.0878,,,,,,,,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,510.2985,510.2987,510.2987,518.2124,2,0,518.2128,520.2077,520.2077,523.2025,523.2025,523.2025,0,48,48,48,1,23 * 4,92,82,87,3,7.9116,,,,,,,,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,523.2106,523.2108,523.2108,529.028,1,0,529.0282,531.0236,531.0237,534.0244,534.0245,534.0245,0,49,49,49,1,25 + 19,44,53,38,1,5.8132,,534.0326,549.0322,,,,,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,,,,,,,,,,,,,,,,,,,,,,,,,,,549.0325,566.0714,3,17.0093,,,,,,
,,,,,107,1,short,A,2024-08-28_13h19.34.460,arithmetic_task,2024.1.5,MacIntel,108.6956522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566.0715,570.0108,space,3.9133,
