instruction_screen.started,instruction_screen.stopped,key_resp_inst.keys,key_resp_inst.rt,key_resp_inst.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,set_options.started,set_options.stopped,trial.started,trial.stopped,key_resp_eq.keys,key_resp_eq.corr,key_resp_eq.rt,key_resp_eq.duration,feedback.started,feedback.stopped,is_rest.started,is_rest.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,math_eq,CorrAns,dstr1,dstr2,CorrAns_key,Q1.started,Q1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,end_screen.started,end_screen.stopped,key_resp.keys,key_resp.rt,key_resp.duration
0.0005,1.1922,space,1.1823,,101,001,2024-08-14_13h56.31.247,arithmetic_task,2024.1.5,MacIntel,76.33587786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,101,001,2024-08-14_13h56.31.247,arithmetic_task,2024.1.5,MacIntel,76.33587786,1.1969,1.1971,1.1971,2.7267,2,0,1.5195,,2.7273,5.7282,5.7288,5.7293,0,0,0,0,1,42 - 9,33,31,23,2,,,,,,,,,,
,,,,,101,001,2024-08-14_13h56.31.247,arithmetic_task,2024.1.5,MacIntel,76.33587786,5.7313,5.7314,5.7315,6.3942,1,0,0.6546,,6.3943,9.3955,9.3955,9.3955,0,1,1,1,1,11 * 3,33,31,38,1,,,,,,,,,,
,,,,,101,001,2024-08-14_13h56.31.247,arithmetic_task,2024.1.5,MacIntel,76.33587786,,,,,,,,,,,,,,,,,,,,,,,9.3966,14.3578,2,4.9344,,,,,,
,,,,,101,001,2024-08-14_13h56.31.247,arithmetic_task,2024.1.5,MacIntel,76.33587786,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3581,15.7572,space,1.3792,
