instruction_screen.started,instruction_screen.stopped,key_resp_inst.keys,key_resp_inst.rt,key_resp_inst.duration,participant,session,delay,group,date,expName,psychopyVersion,OS,frameRate,set_options.started,set_options.stopped,trial.started,trial.stopped,key_resp_eq.keys,key_resp_eq.corr,key_resp_eq.rt,key_resp_eq.duration,pause.started,pause.stopped,feedback.started,feedback.stopped,is_rest.started,is_rest.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,math_eq,CorrAns,dstr1,dstr2,CorrAns_key,rest_screen.started,rest_screen.stopped,Q1.started,Q1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,end_screen.started,end_screen.stopped,key_resp.keys,key_resp.rt,key_resp.duration
0,35.815,space,35.8,,109,1,short,A,2024-08-29_22h56.02.225,arithmetic_task,2024.1.5,Win32,144.092219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,109,1,short,A,2024-08-29_22h56.02.225,arithmetic_task,2024.1.5,Win32,144.092219,35.818,35.818,35.818,45.336,2,0,9.51,,45.336,47.336,47.336,50.336,50.336,50.336,0,0,0,0,1,42 - 9,33,31,23,2,,,,,,,,,,,,
,,,,,109,1,short,A,2024-08-29_22h56.02.225,arithmetic_task,2024.1.5,Win32,144.092219,50.337,50.337,50.337,51.787,1,0,1.445,,51.788,53.787,53.787,56.787,56.787,56.787,0,1,1,1,1,11 * 3,33,31,38,1,,,,,,,,,,,,
,,,,,109,1,short,A,2024-08-29_22h56.02.225,arithmetic_task,2024.1.5,Win32,144.092219,56.788,56.788,56.788,64.774,2,0,7.98,,64.774,66.773,66.773,69.773,69.773,69.773,0,2,2,2,1,118 / 2,59,63,57,2,,,,,,,,,,,,
,,,,,109,1,short,A,2024-08-29_22h56.02.225,arithmetic_task,2024.1.5,Win32,144.092219,69.774,69.774,69.774,72.274,2,0,2.497,,72.274,74.273,74.273,77.273,77.273,77.273,0,3,3,3,1,36 - 13,23,28,22,2,,,,,,,,,,,,
,,,,,109,1,short,A,2024-08-29_22h56.02.225,arithmetic_task,2024.1.5,Win32,144.092219,77.274,77.274,77.274,79.211,2,0,1.935,,79.211,81.211,81.211,84.211,84.211,84.211,0,4,4,4,1,38 - 12,26,23,36,2,,,,,,,,,,,,
,,,,,109,1,short,A,2024-08-29_22h56.02.225,arithmetic_task,2024.1.5,Win32,144.092219,84.213,84.213,84.213,88.315,1,0,4.096,,88.315,90.315,90.315,93.315,93.315,93.315,0,5,5,5,1,38 + 26,64,54,62,1,,,,,,,,,,,,
,,,,,109,1,short,A,2024-08-29_22h56.02.225,arithmetic_task,2024.1.5,Win32,144.092219,93.315,93.315,93.315,95.732,2,0,2.412,,95.732,97.732,97.732,100.731,100.731,100.731,0,6,6,6,1,108 / 2,54,56,64,2,,,,,,,,,,,,
,,,,,109,1,short,A,2024-08-29_22h56.02.225,arithmetic_task,2024.1.5,Win32,144.092219,100.732,100.732,100.732,102.287,2,0,1.549,,102.287,104.287,104.287,107.287,107.287,107.287,0,7,7,7,1,15 * 2,30,27,26,2,,,,,,,,,,,,
,,,,,109,1,short,A,2024-08-29_22h56.02.225,arithmetic_task,2024.1.5,Win32,144.092219,107.288,107.288,107.288,108.475,2,0,1.185,,108.475,110.475,110.475,113.475,113.475,113.475,0,8,8,8,1,30 - 14,16,17,18,2,,,,,,,,,,,,
