instruction_screen.started,instruction_screen.stopped,key_resp_inst.keys,key_resp_inst.rt,key_resp_inst.duration,participant,session,delay,group,date,expName,psychopyVersion,OS,frameRate,set_options.started,set_options.stopped,trial.started,trial.stopped,key_resp_eq.keys,key_resp_eq.corr,key_resp_eq.rt,key_resp_eq.duration,pause.started,pause.stopped,feedback.started,feedback.stopped,is_rest.started,is_rest.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,math_eq,CorrAns,dstr1,dstr2,CorrAns_key,rest_screen.started,rest_screen.stopped,Q1.started,Q1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,end_screen.started,end_screen.stopped,key_resp.keys,key_resp.rt,key_resp.duration
0.0003,11.071,space,11.0596,,103,1,short,A,2024-08-26_12h27.30.057,arithmetic_task,2024.1.5,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,103,1,short,A,2024-08-26_12h27.30.057,arithmetic_task,2024.1.5,MacIntel,120.4819277,11.076,11.0761,11.0762,14.3924,2,0,3.3054,,14.3927,16.3924,16.3924,19.3924,19.3925,19.3926,0,0,0,0,1,42 - 9,33,31,23,2,,,,,,,,,,,,
,,,,,103,1,short,A,2024-08-26_12h27.30.057,arithmetic_task,2024.1.5,MacIntel,120.4819277,19.4015,19.4016,19.4016,20.8839,1,0,1.4743,,20.8842,22.8836,22.8838,25.8838,25.8838,25.8838,0,1,1,1,1,11 * 3,33,31,38,1,,,,,,,,,,,,
,,,,,103,1,short,A,2024-08-26_12h27.30.057,arithmetic_task,2024.1.5,MacIntel,120.4819277,25.8926,25.8929,25.8929,28.3081,2,0,2.4089,,28.3084,30.3086,30.3086,33.3088,33.3088,33.3088,0,2,2,2,1,118 / 2,59,63,57,2,,,,,,,,,,,,
,,,,,103,1,short,A,2024-08-26_12h27.30.057,arithmetic_task,2024.1.5,MacIntel,120.4819277,33.3184,33.3186,33.3187,36.2507,2,0,2.9291,,36.2509,38.2502,38.2503,41.2503,41.2503,41.2503,0,3,3,3,1,36 - 13,23,28,22,2,,,,,,,,,,,,
,,,,,103,1,short,A,2024-08-26_12h27.30.057,arithmetic_task,2024.1.5,MacIntel,120.4819277,41.2591,41.2594,41.2595,43.6672,2,0,2.4001,,43.6674,45.667,45.6671,48.6669,48.667,48.667,0,4,4,4,1,38 - 12,26,23,36,2,,,,,,,,,,,,
,,,,,103,1,short,A,2024-08-26_12h27.30.057,arithmetic_task,2024.1.5,MacIntel,120.4819277,48.6756,48.6758,48.6758,52.6754,1,0,3.9919,,52.6759,54.6754,54.6754,57.6752,57.6752,57.6752,0,5,5,5,1,38 + 26,64,54,62,1,,,,,,,,,,,,
,,,,,103,1,short,A,2024-08-26_12h27.30.057,arithmetic_task,2024.1.5,MacIntel,120.4819277,57.6836,57.6838,57.6838,61.4002,2,0,3.7101,,61.4006,63.4003,63.4003,66.4003,66.4003,66.4004,0,6,6,6,1,108 / 2,54,56,64,2,,,,,,,,,,,,
,,,,,103,1,short,A,2024-08-26_12h27.30.057,arithmetic_task,2024.1.5,MacIntel,120.4819277,66.41,66.4101,66.4102,67.6758,2,0,1.2629,,67.676,69.6752,69.6753,72.6752,72.6753,72.6753,0,7,7,7,1,15 * 2,30,27,26,2,,,,,,,,,,,,
,,,,,103,1,short,A,2024-08-26_12h27.30.057,arithmetic_task,2024.1.5,MacIntel,120.4819277,72.6832,72.6834,72.6834,73.992,2,0,1.3022,,73.9922,75.9917,75.9917,78.9909,78.9909,78.991,0,8,8,8,1,30 - 14,16,17,18,2,,,,,,,,,,,,
,,,,,103,1,short,A,2024-08-26_12h27.30.057,arithmetic_task,2024.1.5,MacIntel,120.4819277,78.9993,78.9995,78.9995,80.4169,3,0,1.4115,,80.4171,82.416,82.4161,85.4167,85.4169,85.4169,0,9,9,9,1,13 * 2,26,24,23,3,85.4264,100.4257,,,,,,,,,,
,,,,,103,1,short,A,2024-08-26_12h27.30.057,arithmetic_task,2024.1.5,MacIntel,120.4819277,100.4336,100.4338,100.4338,103.1583,3,0,2.7186,,103.1586,105.1584,105.1585,108.1585,108.1585,108.1585,0,10,10,10,1,31 + 10,41,39,32,3,,,,,,,,,,,,
,,,,,103,1,short,A,2024-08-26_12h27.30.057,arithmetic_task,2024.1.5,MacIntel,120.4819277,108.1684,108.1686,108.1686,110.6502,1,0,2.476,,110.6505,112.6501,112.6502,115.6501,115.6502,115.6502,0,11,11,11,1,27 - 14,13,10,23,1,,,,,,,,,,,,
,,,,,103,1,short,A,2024-08-26_12h27.30.057,arithmetic_task,2024.1.5,MacIntel,120.4819277,115.6604,115.6606,115.6606,119.6165,1,0,3.9479,,119.6167,121.6157,121.6157,124.6166,124.6167,124.6167,0,12,12,12,1,27 + 18,45,47,52,1,,,,,,,,,,,,
,,,,,103,1,short,A,2024-08-26_12h27.30.057,arithmetic_task,2024.1.5,MacIntel,120.4819277,124.6253,124.6256,124.6256,127.367,2,0,2.7334,,127.3672,129.3667,129.3667,132.3666,132.3666,132.3667,0,13,13,13,1,37 + 18,55,47,45,2,,,,,,,,,,,,
,,,,,103,1,short,A,2024-08-26_12h27.30.057,arithmetic_task,2024.1.5,MacIntel,120.4819277,132.375,132.3753,132.3753,135.2918,1,0,2.9089,,135.2921,137.2917,137.2918,140.2918,140.2918,140.2918,0,14,14,14,1,112 / 2,56,52,46,1,,,,,,,,,,,,
,,,,,103,1,short,A,2024-08-26_12h27.30.057,arithmetic_task,2024.1.5,MacIntel,120.4819277,140.3003,140.3007,140.3007,141.6586,2,0,1.3525,,141.6587,143.6584,143.6585,146.6584,146.6585,146.6585,0,15,15,15,1,110 / 2,55,59,57,2,,,,,,,,,,,,
,,,,,103,1,short,A,2024-08-26_12h27.30.057,arithmetic_task,2024.1.5,MacIntel,120.4819277,146.6678,146.6679,146.6679,149.5335,3,0,2.8576,,149.5337,151.5324,151.5325,154.5325,154.5326,154.5326,0,16,16,16,1,22 + 14,36,46,38,3,,,,,,,,,,,,
,,,,,103,1,short,A,2024-08-26_12h27.30.057,arithmetic_task,2024.1.5,MacIntel,120.4819277,154.5428,154.543,154.543,156.9665,3,0,2.4157,,156.9668,158.9667,158.9667,161.9665,161.9666,161.9667,0,17,17,17,1,32 - 9,23,29,21,3,,,,,,,,,,,,
,,,,,103,1,short,A,2024-08-26_12h27.30.057,arithmetic_task,2024.1.5,MacIntel,120.4819277,161.977,161.9773,161.9773,164.3752,3,0,2.3903,,164.3755,166.3741,166.3742,169.375,169.3751,169.3751,0,18,18,18,1,18 * 3,54,52,44,3,,,,,,,,,,,,
,,,,,103,1,short,A,2024-08-26_12h27.30.057,arithmetic_task,2024.1.5,MacIntel,120.4819277,169.384,169.3842,169.3842,172.2,2,0,2.8077,,172.2002,174.1999,174.1999,177.1998,177.1999,177.1999,0,19,19,19,1,33 - 6,27,29,26,2,177.2081,192.2076,,,,,,,,,,
,,,,,103,1,short,A,2024-08-26_12h27.30.057,arithmetic_task,2024.1.5,MacIntel,120.4819277,192.2162,192.2165,192.2165,195.2084,3,0,2.984,,195.2086,197.2077,197.2078,200.2081,200.2082,200.2082,0,20,20,20,1,19 * 3,57,50,53,3,,,,,,,,,,,,
,,,,,103,1,short,A,2024-08-26_12h27.30.057,arithmetic_task,2024.1.5,MacIntel,120.4819277,200.2168,200.217,200.217,210.2167,,0,,,210.2171,212.2164,212.2165,215.2167,215.2168,215.2168,0,21,21,21,1,140 / 4,45,35,42,1,,,,,,,,,,,,
,,,,,103,1,short,A,2024-08-26_12h27.30.057,arithmetic_task,2024.1.5,MacIntel,120.4819277,215.2257,215.226,215.226,217.4832,1,0,2.2503,,217.4835,219.4833,219.4834,222.4832,222.4833,222.4833,0,22,22,22,1,23 + 18,41,39,33,1,,,,,,,,,,,,
,,,,,103,1,short,A,2024-08-26_12h27.30.057,arithmetic_task,2024.1.5,MacIntel,120.4819277,222.4919,222.4922,222.4922,224.2333,3,0,1.7352,,224.2334,226.233,226.233,229.2331,229.2331,229.2331,0,23,23,23,1,128 / 2,64,60,62,3,,,,,,,,,,,,
