instruction_screen.started,instruction_screen.stopped,key_resp_inst.keys,key_resp_inst.rt,key_resp_inst.duration,participant,session,delay,group,date,expName,psychopyVersion,OS,frameRate,set_options.started,set_options.stopped,trial.started,trial.stopped,key_resp_eq.keys,key_resp_eq.corr,pause.started,pause.stopped,feedback.started,feedback.stopped,is_rest.started,is_rest.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,math_eq,CorrAns,dstr1,dstr2,CorrAns_key,key_resp_eq.rt,key_resp_eq.duration,rest_screen.started,rest_screen.stopped,Q1.started,Q1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,end_screen.started,end_screen.stopped,key_resp.keys,key_resp.rt,key_resp.duration
0.0004,5.967,space,5.9471,,101,1,short,A,2024-08-26_12h15.01.314,arithmetic_task,2024.1.5,Win32,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,101,1,short,A,2024-08-26_12h15.01.314,arithmetic_task,2024.1.5,Win32,60.60606061,5.9782,5.9785,5.9787,15.9779,,0,15.9784,17.9772,17.9775,20.9788,20.9791,20.9793,0,0,0,0,1,42 - 9,33,31,23,2,,,,,,,,,,,,,,
,,,,,101,1,short,A,2024-08-26_12h15.01.314,arithmetic_task,2024.1.5,Win32,60.60606061,20.9992,20.9993,20.9993,30.9919,,0,30.9925,32.992,32.992,35.9921,35.9921,35.9921,0,1,1,1,1,11 * 3,33,31,38,1,,,,,,,,,,,,,,
,,,,,101,1,short,A,2024-08-26_12h15.01.314,arithmetic_task,2024.1.5,Win32,60.60606061,36.0115,36.012,36.012,46.0087,,0,46.0094,48.0083,48.0085,51.0085,51.0086,51.0086,0,2,2,2,1,118 / 2,59,63,57,2,,,,,,,,,,,,,,
,,,,,101,1,short,A,2024-08-26_12h15.01.314,arithmetic_task,2024.1.5,Win32,60.60606061,51.0282,51.0286,51.0287,54.1245,2,0,54.125,56.124,56.1241,59.1239,59.124,59.124,0,3,3,3,1,36 - 13,23,28,22,2,3.0793,,,,,,,,,,,,,
,,,,,101,1,short,A,2024-08-26_12h15.01.314,arithmetic_task,2024.1.5,Win32,60.60606061,59.1437,59.1441,59.1442,61.2563,2,0,61.2566,63.2572,63.2574,66.2573,66.2574,66.2574,0,4,4,4,1,38 - 12,26,23,36,2,2.0977,,,,,,,,,,,,,
,,,,,101,1,short,A,2024-08-26_12h15.01.314,arithmetic_task,2024.1.5,Win32,60.60606061,66.2778,66.2782,66.2782,70.6898,1,0,70.6902,72.6903,72.6905,75.6902,75.6903,75.6903,0,5,5,5,1,38 + 26,64,54,62,1,4.4008,,,,,,,,,,,,,
,,,,,101,1,short,A,2024-08-26_12h15.01.314,arithmetic_task,2024.1.5,Win32,60.60606061,75.709,75.7095,75.7095,79.406,2,0,79.4066,81.4059,81.406,84.4052,84.4054,84.4054,0,6,6,6,1,108 / 2,54,56,64,2,3.6842,,,,,,,,,,,,,
,,,,,101,1,short,A,2024-08-26_12h15.01.314,arithmetic_task,2024.1.5,Win32,60.60606061,84.4073,84.4079,84.4079,87.6561,2,0,87.6566,89.6555,89.6556,92.6557,92.6559,92.6559,0,7,7,7,1,15 * 2,30,27,26,2,3.2359,,,,,,,,,,,,,
,,,,,101,1,short,A,2024-08-26_12h15.01.314,arithmetic_task,2024.1.5,Win32,60.60606061,92.6753,92.6757,92.6757,94.8054,2,0,94.806,96.8054,96.8055,99.8053,99.8055,99.8057,0,8,8,8,1,30 - 14,16,17,18,2,2.1168,,,,,,,,,,,,,
,,,,,101,1,short,A,2024-08-26_12h15.01.314,arithmetic_task,2024.1.5,Win32,60.60606061,99.8249,99.8253,99.8253,101.7383,3,0,101.7386,103.7375,103.7375,106.7381,106.7383,106.7384,0,9,9,9,1,13 * 2,26,24,23,3,1.9001,,106.765,121.7548,,,,,,,,,,
,,,,,101,1,short,A,2024-08-26_12h15.01.314,arithmetic_task,2024.1.5,Win32,60.60606061,121.7727,121.7728,121.7728,124.437,3,0,124.4372,126.4366,126.4367,129.4366,129.4366,129.4367,0,10,10,10,1,31 + 10,41,39,32,3,2.6542,,,,,,,,,,,,,
,,,,,101,1,short,A,2024-08-26_12h15.01.314,arithmetic_task,2024.1.5,Win32,60.60606061,129.4628,129.4633,129.4633,132.3363,3,0,132.3365,134.3361,134.3361,137.3354,137.3355,137.3355,0,11,11,11,1,27 - 14,13,10,23,1,2.8612,,,,,,,,,,,,,
,,,,,101,1,short,A,2024-08-26_12h15.01.314,arithmetic_task,2024.1.5,Win32,60.60606061,137.3538,137.354,137.3541,137.3855,2,0,137.3856,139.3863,139.3863,142.3852,142.3853,142.3853,0,12,12,12,1,27 + 18,45,47,52,1,0.0222,,,,,,,,,,,,,
,,,,,101,1,short,A,2024-08-26_12h15.01.314,arithmetic_task,2024.1.5,Win32,60.60606061,142.403,142.4031,142.4031,146.2191,2,0,146.2199,148.2192,148.2193,151.2193,151.2193,151.2193,0,13,13,13,1,37 + 18,55,47,45,2,3.8113,,,,,,,,,,,,,
,,,,,101,1,short,A,2024-08-26_12h15.01.314,arithmetic_task,2024.1.5,Win32,60.60606061,151.2389,151.2393,151.2394,153.3852,1,0,153.3854,155.3849,155.3849,158.3846,158.3846,158.3846,0,14,14,14,1,112 / 2,56,52,46,1,2.1393,,,,,,,,,,,,,
,,,,,101,1,short,A,2024-08-26_12h15.01.314,arithmetic_task,2024.1.5,Win32,60.60606061,158.4016,158.4019,158.4019,160.6844,2,0,160.6847,162.6845,162.6845,165.6842,165.6843,165.6843,0,15,15,15,1,110 / 2,55,59,57,2,2.2751,,,,,,,,,,,,,
,,,,,101,1,short,A,2024-08-26_12h15.01.314,arithmetic_task,2024.1.5,Win32,60.60606061,165.7019,165.7022,165.7022,169.184,2,0,169.1842,171.1836,171.1837,174.1834,174.1835,174.1835,0,16,16,16,1,22 + 14,36,46,38,3,3.4715,,,,,,,,,,,,,
,,,,,101,1,short,A,2024-08-26_12h15.01.314,arithmetic_task,2024.1.5,Win32,60.60606061,174.204,174.2043,174.2043,181.5333,3,0,181.5338,183.5333,183.5333,186.533,186.5331,186.5331,0,17,17,17,1,32 - 9,23,29,21,3,7.3201,,,,,,,,,,,,,
,,,,,101,1,short,A,2024-08-26_12h15.01.314,arithmetic_task,2024.1.5,Win32,60.60606061,186.5516,186.5519,186.5519,189.5991,3,0,189.5996,191.5994,191.5994,194.5991,194.5991,194.5991,0,18,18,18,1,18 * 3,54,52,44,3,3.0343,,,,,,,,,,,,,
,,,,,101,1,short,A,2024-08-26_12h15.01.314,arithmetic_task,2024.1.5,Win32,60.60606061,194.6174,194.6178,194.6178,198.6997,2,0,198.7003,200.6991,200.6992,203.6991,203.6992,203.6992,0,19,19,19,1,33 - 6,27,29,26,2,4.0747,,203.719,218.7151,,,,,,,,,,
,,,,,101,1,short,A,2024-08-26_12h15.01.314,arithmetic_task,2024.1.5,Win32,60.60606061,218.7342,218.7346,218.7346,227.7641,3,0,227.7652,229.7646,229.7648,232.7643,232.7644,232.7646,0,20,20,20,1,19 * 3,57,50,53,3,9.0187,,,,,,,,,,,,,
,,,,,101,1,short,A,2024-08-26_12h15.01.314,arithmetic_task,2024.1.5,Win32,60.60606061,232.7835,232.7838,232.7839,237.8134,2,0,237.8138,239.8134,239.8134,242.8132,242.8132,242.8132,0,21,21,21,1,140 / 4,45,35,42,1,5.0168,,,,,,,,,,,,,
,,,,,101,1,short,A,2024-08-26_12h15.01.314,arithmetic_task,2024.1.5,Win32,60.60606061,242.8316,242.8321,242.8321,247.5464,1,0,247.5468,249.5466,249.5472,252.546,252.5461,252.5461,0,22,22,22,1,23 + 18,41,39,33,1,4.7036,,,,,,,,,,,,,
,,,,,101,1,short,A,2024-08-26_12h15.01.314,arithmetic_task,2024.1.5,Win32,60.60606061,252.5649,252.5653,252.5653,257.7953,3,0,257.7958,259.7947,259.7947,262.7958,262.7959,262.7959,0,23,23,23,1,128 / 2,64,60,62,3,5.2248,,,,,,,,,,,,,
,,,,,101,1,short,A,2024-08-26_12h15.01.314,arithmetic_task,2024.1.5,Win32,60.60606061,262.8139,262.8143,262.8143,265.512,2,0,265.5122,267.5117,267.5117,270.5117,270.5118,270.5118,0,24,24,24,1,39 - 11,28,26,27,2,2.6863,,,,,,,,,,,,,
,,,,,101,1,short,A,2024-08-26_12h15.01.314,arithmetic_task,2024.1.5,Win32,60.60606061,270.5311,270.5315,270.5316,274.9118,1,0,274.9123,276.911,276.9111,279.9108,279.9108,279.9108,0,25,25,25,1,23 + 9,32,31,29,1,4.3708,,,,,,,,,,,,,
,,,,,101,1,short,A,2024-08-26_12h15.01.314,arithmetic_task,2024.1.5,Win32,60.60606061,279.9298,279.9302,279.9303,284.3445,1,0,284.3453,286.3442,286.3444,289.344,289.3442,289.3442,0,26,26,26,1,142 / 2,71,72,74,1,4.4012,,,,,,,,,,,,,
,,,,,101,1,short,A,2024-08-26_12h15.01.314,arithmetic_task,2024.1.5,Win32,60.60606061,289.3633,289.3636,289.3636,294.1274,2,0,294.128,296.1271,296.1273,299.127,299.1272,299.1272,0,27,27,27,1,14 * 3,42,38,40,2,4.7575,,,,,,,,,,,,,
,,,,,101,1,short,A,2024-08-26_12h15.01.314,arithmetic_task,2024.1.5,Win32,60.60606061,299.146,299.1463,299.1463,304.9765,3,0,304.977,306.9755,306.9757,309.9759,309.9759,309.9759,0,28,28,28,1,33 - 8,25,26,28,3,5.815,,,,,,,,,,,,,
,,,,,101,1,short,A,2024-08-26_12h15.01.314,arithmetic_task,2024.1.5,Win32,60.60606061,309.9936,309.994,309.994,315.0584,1,0,315.0592,317.0583,317.0584,320.0592,320.0593,320.0593,0,29,29,29,1,37 + 26,63,53,65,1,5.0512,,320.0788,335.0746,,,,,,,,,,
,,,,,101,1,short,A,2024-08-26_12h15.01.314,arithmetic_task,2024.1.5,Win32,60.60606061,335.0929,335.0934,335.0934,339.8571,1,0,339.8577,341.8572,341.8573,344.8572,344.8572,344.8572,0,30,30,30,1,34 - 8,26,20,32,1,4.758,,,,,,,,,,,,,
,,,,,101,1,short,A,2024-08-26_12h15.01.314,arithmetic_task,2024.1.5,Win32,60.60606061,344.8754,344.8758,344.8758,349.5932,2,0,349.5936,351.5907,351.591,354.5899,354.5901,354.5901,0,31,31,31,1,14 * 3,42,44,49,1,4.7127,,,,,,,,,,,,,
,,,,,101,1,short,A,2024-08-26_12h15.01.314,arithmetic_task,2024.1.5,Win32,60.60606061,354.6071,354.6073,354.6073,359.2726,3,0,359.273,361.2728,361.2728,364.2723,364.2724,364.2725,0,32,32,32,1,22 + 18,40,33,48,3,4.6521,,,,,,,,,,,,,
,,,,,101,1,short,A,2024-08-26_12h15.01.314,arithmetic_task,2024.1.5,Win32,60.60606061,364.2846,364.2849,364.2849,366.4555,1,0,366.4561,368.4563,368.4564,371.4557,371.4558,371.4558,0,33,33,33,1,11 * 3,33,39,29,1,2.1655,,,,,,,,,,,,,
,,,,,101,1,short,A,2024-08-26_12h15.01.314,arithmetic_task,2024.1.5,Win32,60.60606061,371.4744,371.4748,371.4748,373.8718,2,0,373.8721,375.8719,375.872,378.8717,378.8717,378.8717,0,34,34,34,1,19 * 2,38,37,32,1,2.3875,,,,,,,,,,,,,
,,,,,101,1,short,A,2024-08-26_12h15.01.314,arithmetic_task,2024.1.5,Win32,60.60606061,378.8889,378.8892,378.8892,382.2715,2,0,382.2719,384.2717,384.2718,387.2709,387.2709,387.2709,0,35,35,35,1,28 + 19,47,50,45,2,3.3742,,,,,,,,,,,,,
,,,,,101,1,short,A,2024-08-26_12h15.01.314,arithmetic_task,2024.1.5,Win32,60.60606061,387.2888,387.2892,387.2892,389.9876,2,0,389.9879,391.9876,391.9876,394.9879,394.9882,394.9882,0,36,36,36,1,31 + 23,54,47,57,2,2.687,,,,,,,,,,,,,
,,,,,101,1,short,A,2024-08-26_12h15.01.314,arithmetic_task,2024.1.5,Win32,60.60606061,395.0065,395.0068,395.0068,396.8375,2,0,396.8376,398.8374,398.8376,401.8373,401.8374,401.8375,0,37,37,37,1,22 + 20,42,38,51,2,1.817,,,,,,,,,,,,,
