instruction_screen.started,instruction_screen.stopped,key_resp_inst.keys,key_resp_inst.rt,key_resp_inst.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,set_options.started,set_options.stopped,trial.started,trial.stopped,key_resp_eq.keys,key_resp_eq.corr,key_resp_eq.rt,key_resp_eq.duration,feedback.started,feedback.stopped,is_rest.started,is_rest.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,math_eq,CorrAns,dstr1,dstr2,CorrAns_key,Q1.started,Q1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,end_screen.started,end_screen.stopped,key_resp.keys,key_resp.rt,key_resp.duration
0.0004,1.3594,space,1.3471,,101,001,2024-08-14_17h13.03.933,arithmetic_task,2024.1.5,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,101,001,2024-08-14_17h13.03.933,arithmetic_task,2024.1.5,MacIntel,119.047619,1.3626,1.3627,1.3628,2.7329,2,0,1.3645,,2.7331,5.7353,5.7356,5.7358,0,0,0,0,1,42 - 9,33,31,23,2,,,,,,,,,,
,,,,,101,001,2024-08-14_17h13.03.933,arithmetic_task,2024.1.5,MacIntel,119.047619,5.7381,5.7383,5.7383,6.5718,2,0,0.8242,,6.5721,9.567,9.5671,9.5672,0,1,1,1,1,11 * 3,33,31,38,1,,,,,,,,,,
,,,,,101,001,2024-08-14_17h13.03.933,arithmetic_task,2024.1.5,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,,,,9.5688,11.9484,1,2.3517,,,,,,
,,,,,101,001,2024-08-14_17h13.03.933,arithmetic_task,2024.1.5,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9486,13.1056,space,1.1458,
