instruction_screen.started,instruction_screen.stopped,key_resp_inst.keys,key_resp_inst.rt,key_resp_inst.duration,participant,session,delay,group,date,expName,psychopyVersion,OS,frameRate,set_options.started,set_options.stopped,trial.started,trial.stopped,key_resp_eq.keys,key_resp_eq.corr,key_resp_eq.rt,key_resp_eq.duration,feedback.started,feedback.stopped,is_rest.started,is_rest.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,math_eq,CorrAns,dstr1,dstr2,CorrAns_key,Q1.started,Q1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,end_screen.started,end_screen.stopped,key_resp.keys,key_resp.rt,key_resp.duration
0.0003,11.091,space,11.0745,,107,1,short,A,2024-08-22_17h47.46.196,arithmetic_task,2024.1.5,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,107,1,short,A,2024-08-22_17h47.46.196,arithmetic_task,2024.1.5,MacIntel,120.4819277,11.0999,11.1003,11.1003,13.0534,2,0,1.9395,,13.054,16.0498,16.0502,16.0504,0,0,0,0,1,42 - 9,33,31,23,2,,,,,,,,,,
,,,,,107,1,short,A,2024-08-22_17h47.46.196,arithmetic_task,2024.1.5,MacIntel,120.4819277,16.0533,16.0535,16.0535,17.6113,1,0,1.5491,,17.6116,20.6125,20.6125,20.6126,0,1,1,1,1,11 * 3,33,31,38,1,,,,,,,,,,
,,,,,107,1,short,A,2024-08-22_17h47.46.196,arithmetic_task,2024.1.5,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,20.6142,32.7034,2,12.0698,,,,,,
,,,,,107,1,short,A,2024-08-22_17h47.46.196,arithmetic_task,2024.1.5,MacIntel,120.4819277,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.7035,35.6104,space,2.8951,
