instruction_screen.started,instruction_screen.stopped,key_resp_inst.keys,key_resp_inst.rt,key_resp_inst.duration,participant,session,delay,group,date,expName,psychopyVersion,OS,frameRate,set_options.started,set_options.stopped,trial.started,trial.stopped,key_resp_eq.keys,key_resp_eq.corr,key_resp_eq.rt,key_resp_eq.duration,feedback.started,feedback.stopped,is_rest.started,is_rest.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,math_eq,CorrAns,dstr1,dstr2,CorrAns_key,Q1.started,Q1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,end_screen.started,end_screen.stopped,key_resp.keys,key_resp.rt,key_resp.duration
0.0003,11.1956,space,11.181,,108,1,short,A,2024-08-23_14h19.10.651,arithmetic_task,2024.1.5,MacIntel,75.18796992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,108,1,short,A,2024-08-23_14h19.10.651,arithmetic_task,2024.1.5,MacIntel,75.18796992,11.2003,11.2004,11.2004,13.3304,2,0,2.1178,,13.331,16.3308,16.331,16.3312,0,0,0,0,1,42 - 9,33,31,23,2,,,,,,,,,,
,,,,,108,1,short,A,2024-08-23_14h19.10.651,arithmetic_task,2024.1.5,MacIntel,75.18796992,16.3328,16.3331,16.3332,17.664,1,0,1.3207,,17.6643,20.6653,20.6653,20.6654,0,1,1,1,1,11 * 3,33,31,38,1,,,,,,,,,,
,,,,,108,1,short,A,2024-08-23_14h19.10.651,arithmetic_task,2024.1.5,MacIntel,75.18796992,,,,,,,,,,,,,,,,,,,,,,,20.6671,21.6926,2,1.0035,,,,,,
,,,,,108,1,short,A,2024-08-23_14h19.10.651,arithmetic_task,2024.1.5,MacIntel,75.18796992,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6928,22.9999,space,1.2886,
