6.0073 	WARNING 	Requested an unavailable screen number - using first available.
6.0094 	WARNING 	User requested fullscreen with size [1920 1080], but screen is actually [2560, 1440]. Using actual size
6.2039 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001B133241150>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001B1332410F0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1., -1., -1.]), colorSpace='rgb', depthBits=8, fullscr=True, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001B133536CB0>, multiSample=False, name='window1', numSamples=2, pos=[np.float64(0.0), np.float64(0.0)], screen=1, size=array([2560, 1440]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.2040 	EXP 	window1: backgroundImage = ''
6.2040 	EXP 	window1: backgroundFit = 'none'
6.6396 	EXP 	window1: Attempting to measure frame rate of screen (1) ...
6.6396 	EXP 	window1: recordFrameIntervals = False
6.7949 	EXP 	window1: recordFrameIntervals = True
7.6288 	EXP 	window1: recordFrameIntervals = False
7.6288 	EXP 	Screen (1) actual frame rate measured at 118.99Hz
10.6647 	EXP 	arithmetic_task: status = STARTED
10.7192 	EXP 	Created text_instruction = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=np.float64(0.05), italic=False, languageStyle='LTR', name='text_instruction', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
10.7218 	EXP 	Created text_equation = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_equation', opacity=1, ori=0.0, pos=array([0. , 0.2]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
10.7225 	EXP 	Created text_opt1 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_opt1', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
10.7232 	EXP 	Created text_opt2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_opt2', opacity=1, ori=0.0, pos=array([ 0. , -0.1]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
10.7239 	EXP 	Created text_opt3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_opt3', opacity=1, ori=0.0, pos=array([ 0. , -0.2]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
10.7265 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=np.float64(0.05), italic=False, languageStyle='LTR', name='text_2', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='+', units='height', win=Window(...), wrapWidth=1)
10.7272 	EXP 	Created text_feedback = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_feedback', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
10.7339 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=np.float64(0.05), italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
10.7463 	EXP 	Created text_q1 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=np.float64(0.05), italic=False, languageStyle='LTR', name='text_q1', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
10.7565 	EXP 	Created text_endscreen = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=np.float64(0.05), italic=False, languageStyle='LTR', name='text_endscreen', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
0.0050 	EXP 	text_instruction: autoDraw = True
1.2171 	EXP 	Device response: <KeyPress from None: t=1.197585599962622, value=space, duration=None>
1.2399 	EXP 	Imported math_cond_file.csv as conditions, 50 conditions, 5 params
1.2404 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'math_eq': '42 - 9', 'CorrAns': np.int64(33), 'dstr1': np.int64(31), 'dstr2': np.int64(23), 'CorrAns_key': np.int64(2), 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
1.2665 	DATA 	Keypress: space
1.2682 	EXP 	text_instruction: autoDraw = False
1.2682 	EXP 	text_equation: height = np.float64(0.1)
1.2682 	EXP 	text_equation: height = np.float64(0.1)
1.2682 	EXP 	text_equation: height = np.float64(0.1)
1.2682 	EXP 	text_equation: text = '42 - 9'
1.2682 	EXP 	text_opt1: height = np.float64(0.05)
1.2682 	EXP 	text_opt1: height = np.float64(0.05)
1.2682 	EXP 	text_opt1: height = np.float64(0.05)
1.2682 	EXP 	text_opt1: text = '1. 31'
1.2682 	EXP 	text_opt2: height = np.float64(0.05)
1.2682 	EXP 	text_opt2: height = np.float64(0.05)
1.2682 	EXP 	text_opt2: height = np.float64(0.05)
1.2682 	EXP 	text_opt2: text = '2. 33'
1.2682 	EXP 	text_opt3: height = np.float64(0.05)
1.2682 	EXP 	text_opt3: height = np.float64(0.05)
1.2682 	EXP 	text_opt3: height = np.float64(0.05)
1.2682 	EXP 	text_opt3: text = '3. 23'
1.2682 	EXP 	text_equation: autoDraw = True
1.2682 	EXP 	text_opt1: autoDraw = True
1.2682 	EXP 	text_opt2: autoDraw = True
1.2682 	EXP 	text_opt3: autoDraw = True
1.3300 	EXP 	Device response: <KeyPress from None: t=1.197585599962622, value=space, duration=0.12796570011414587>
3.3138 	EXP 	Device response: <KeyPress from None: t=3.3098889999091625, value=1, duration=None>
3.3154 	DATA 	Keypress: 1
3.3218 	EXP 	text_equation: autoDraw = False
3.3218 	EXP 	text_opt1: autoDraw = False
3.3218 	EXP 	text_opt2: autoDraw = False
3.3218 	EXP 	text_opt3: autoDraw = False
3.3218 	EXP 	text_2: autoDraw = True
3.4385 	EXP 	Device response: <KeyPress from None: t=3.3098889999091625, value=1, duration=0.12827010010369122>
5.3133 	EXP 	text_2: autoDraw = False
5.3133 	EXP 	text_2: autoDraw = False
5.3133 	EXP 	text_feedback: height = np.float64(0.05)
5.3133 	EXP 	text_feedback: height = np.float64(0.05)
5.3133 	EXP 	text_feedback: height = np.float64(0.05)
5.3133 	EXP 	text_feedback: text = 'Incorrect!'
5.3133 	EXP 	text_feedback: autoDraw = True
