instruction_screen.started,instruction_screen.stopped,key_resp_inst.keys,key_resp_inst.rt,key_resp_inst.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,set_options.started,set_options.stopped,trial.started,trial.stopped,key_resp_eq.keys,key_resp_eq.corr,key_resp_eq.rt,key_resp_eq.duration,feedback.started,feedback.stopped,is_rest.started,is_rest.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,math_eq,CorrAns,dstr1,dstr2,CorrAns_key,Q1.started,Q1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,end_screen.started,end_screen.stopped,key_resp.keys,key_resp.rt,key_resp.duration
0.0007,1.7459,space,1.7042,,101,001,2024-08-15_10h59.55.088,arithmetic_task,2024.1.5,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,101,001,2024-08-15_10h59.55.088,arithmetic_task,2024.1.5,MacIntel,59.52380952,1.7509,1.7511,1.7512,6.6999,2,0,4.9303,,6.7002,9.7028,9.7031,9.7034,0,0,0,0,1,42 - 9,33,31,23,2,,,,,,,,,,
,,,,,101,001,2024-08-15_10h59.55.088,arithmetic_task,2024.1.5,MacIntel,59.52380952,9.7055,9.7057,9.7058,10.5031,1,0,0.7855,,10.5034,13.5056,13.5057,13.5058,0,1,1,1,1,11 * 3,33,31,38,1,,,,,,,,,,
,,,,,101,001,2024-08-15_10h59.55.088,arithmetic_task,2024.1.5,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,,,13.5072,19.9113,2,6.3787,,,,,,
,,,,,101,001,2024-08-15_10h59.55.088,arithmetic_task,2024.1.5,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9114,21.2955,space,1.3676,
