instruction_screen.started,instruction_screen.stopped,key_resp_inst.keys,key_resp_inst.rt,key_resp_inst.duration,participant,session,delay,group,date,expName,psychopyVersion,OS,frameRate,set_options.started,set_options.stopped,trial.started,trial.stopped,key_resp_eq.keys,key_resp_eq.corr,key_resp_eq.rt,key_resp_eq.duration,pause.started,pause.stopped,feedback.started,feedback.stopped,is_rest.started,is_rest.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,math_eq,CorrAns,dstr1,dstr2,CorrAns_key,rest_screen.started,rest_screen.stopped,Q1.started,Q1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,end_screen.started,end_screen.stopped,key_resp.keys,key_resp.rt,key_resp.duration
,,,,,101,1,short,A,2024-09-09_11h30.48.127,arithmetic_task,2024.1.5,MacIntel,73.52941176,311.0244,311.0246,311.0246,311.9486,2,0,0.9213,,311.9488,313.949,313.949,316.9505,316.9505,316.9505,0,36,36,36,1,31 + 23,54,47,57,2,,,,,,,,,,,,
,,,,,101,1,short,A,2024-09-09_11h30.48.127,arithmetic_task,2024.1.5,MacIntel,73.52941176,316.9591,316.9593,316.9593,318.0975,1,0,1.1332,,318.0977,320.0978,320.0978,323.0996,323.0996,323.0997,0,37,37,37,1,22 + 20,42,38,51,2,,,,,,,,,,,,
,,,,,101,1,short,A,2024-09-09_11h30.48.127,arithmetic_task,2024.1.5,MacIntel,73.52941176,323.1087,323.1089,323.1089,324.4066,2,0,1.2834,,324.4068,326.4074,326.4075,329.4083,329.4084,329.4084,0,38,38,38,1,39 - 11,28,19,18,1,,,,,,,,,,,,
,,,,,101,1,short,A,2024-09-09_11h30.48.127,arithmetic_task,2024.1.5,MacIntel,73.52941176,329.4166,329.4167,329.4168,329.6886,2,0,0.2595,,329.6888,331.6882,331.6882,334.6904,334.6904,334.6904,0,39,39,39,1,31 + 43,74,73,64,3,334.6993,349.6949,,,,,,,,,,
,,,,,101,1,short,A,2024-09-09_11h30.48.127,arithmetic_task,2024.1.5,MacIntel,73.52941176,349.703,349.7033,349.7033,350.1227,1,0,0.4087,,350.123,352.1232,352.1232,355.1246,355.1246,355.1246,0,40,40,40,1,30 + 22,52,58,53,1,,,,,,,,,,,,
,,,,,101,1,short,A,2024-09-09_11h30.48.127,arithmetic_task,2024.1.5,MacIntel,73.52941176,355.1321,355.1323,355.1323,355.5114,1,0,0.3764,,355.5116,357.512,357.512,360.513,360.513,360.513,0,41,41,41,1,25 - 14,11,2,6,1,,,,,,,,,,,,
,,,,,101,1,short,A,2024-09-09_11h30.48.127,arithmetic_task,2024.1.5,MacIntel,73.52941176,360.5215,360.5217,360.5217,360.82,2,0,0.2954,,360.8202,362.8207,362.8207,365.8218,365.8218,365.8219,0,42,42,42,1,100 / 4,25,20,22,3,,,,,,,,,,,,
,,,,,101,1,short,A,2024-09-09_11h30.48.127,arithmetic_task,2024.1.5,MacIntel,73.52941176,365.8299,365.83,365.83,366.1953,2,0,0.3536,,366.1955,368.1959,368.1959,371.1971,371.1971,371.1971,0,43,43,43,1,58 - 13,45,55,44,3,,,,,,,,,,,,
,,,,,101,1,short,A,2024-09-09_11h30.48.127,arithmetic_task,2024.1.5,MacIntel,73.52941176,371.2059,371.2061,371.2061,372.0507,3,0,0.8333,,372.0509,374.0513,374.0515,377.0527,377.0527,377.0527,0,44,44,44,1,33 + 22,55,52,53,2,,,,,,,,,,,,
,,,,,101,1,short,A,2024-09-09_11h30.48.127,arithmetic_task,2024.1.5,MacIntel,73.52941176,377.0603,377.0606,377.0606,380.2405,1,0,3.1693,,380.2408,382.2406,382.2407,385.241,385.241,385.241,0,45,45,45,1,24 - 14,10,20,11,2,,,,,,,,,,,,
,,,,,101,1,short,A,2024-09-09_11h30.48.127,arithmetic_task,2024.1.5,MacIntel,73.52941176,385.2498,385.2499,385.2499,385.5224,2,0,0.2631,,385.5226,387.5229,387.523,390.524,390.5241,390.5241,0,46,46,46,1,118 / 2,59,55,57,3,,,,,,,,,,,,
,,,,,101,1,short,A,2024-09-09_11h30.48.127,arithmetic_task,2024.1.5,MacIntel,73.52941176,390.5318,390.532,390.532,391.0979,1,0,0.5527,,391.0981,393.0983,393.0983,396.0996,396.0996,396.0996,0,47,47,47,1,14 * 2,28,38,16,1,,,,,,,,,,,,
,,,,,101,1,short,A,2024-09-09_11h30.48.127,arithmetic_task,2024.1.5,MacIntel,73.52941176,396.1074,396.1076,396.1076,398.1402,1,0,2.0297,,398.1403,400.1401,400.1401,403.1418,403.1419,403.1419,0,48,48,48,1,23 * 4,92,82,87,3,,,,,,,,,,,,
,,,,,101,1,short,A,2024-09-09_11h30.48.127,arithmetic_task,2024.1.5,MacIntel,73.52941176,403.1508,403.151,403.151,404.1425,1,0,0.9807,,404.1427,406.1418,406.1418,409.1436,409.1436,409.1436,0,49,49,49,1,25 + 19,44,53,38,1,409.1518,424.1495,,,,,,,,,,
,,,,,101,1,short,A,2024-09-09_11h30.48.127,arithmetic_task,2024.1.5,MacIntel,73.52941176,,,,,,,,,,,,,,,,,,,,,,,,,,,424.1499,424.5364,3,0.3585,,,,,,
,,,,,101,1,short,A,2024-09-09_11h30.48.127,arithmetic_task,2024.1.5,MacIntel,73.52941176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424.5367,444.6771,space,20.1269,
