instruction_screen.started,instruction_screen.stopped,key_resp_inst.keys,key_resp_inst.rt,key_resp_inst.duration,participant,session,delay,group,date,expName,psychopyVersion,OS,frameRate,set_options.started,set_options.stopped,trial.started,trial.stopped,key_resp_eq.keys,key_resp_eq.corr,key_resp_eq.rt,key_resp_eq.duration,pause.started,pause.stopped,feedback.started,feedback.stopped,is_rest.started,is_rest.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,math_eq,CorrAns,dstr1,dstr2,CorrAns_key,rest_screen.started,rest_screen.stopped,Q1.started,Q1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,end_screen.started,end_screen.stopped,key_resp.keys,key_resp.rt,key_resp.duration
0.0003,11.1803,space,11.1696,,105,1,short,A,2024-08-27_08h25.36.213,arithmetic_task,2024.1.5,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,105,1,short,A,2024-08-27_08h25.36.213,arithmetic_task,2024.1.5,MacIntel,60.24096386,11.1846,11.1848,11.1848,16.6969,2,0,5.5041,,16.6974,18.6968,18.6969,21.6966,21.6967,21.6969,0,0,0,0,1,42 - 9,33,31,23,2,,,,,,,,,,,,
,,,,,105,1,short,A,2024-08-27_08h25.36.213,arithmetic_task,2024.1.5,MacIntel,60.24096386,21.7083,21.7084,21.7084,23.3965,1,0,1.6744,,23.3968,25.3955,25.3955,28.3963,28.3964,28.3964,0,1,1,1,1,11 * 3,33,31,38,1,,,,,,,,,,,,
,,,,,105,1,short,A,2024-08-27_08h25.36.213,arithmetic_task,2024.1.5,MacIntel,60.24096386,28.4074,28.4076,28.4076,30.7298,2,0,2.3075,,30.7301,32.7297,32.7298,35.7297,35.7297,35.7297,0,2,2,2,1,118 / 2,59,63,57,2,,,,,,,,,,,,
,,,,,105,1,short,A,2024-08-27_08h25.36.213,arithmetic_task,2024.1.5,MacIntel,60.24096386,35.7401,35.7403,35.7403,39.4464,2,0,3.6926,,39.4468,41.4463,41.4464,44.4461,44.4462,44.4462,0,3,3,3,1,36 - 13,23,28,22,2,,,,,,,,,,,,
,,,,,105,1,short,A,2024-08-27_08h25.36.213,arithmetic_task,2024.1.5,MacIntel,60.24096386,44.4571,44.4572,44.4572,47.7463,2,0,3.2797,,47.7465,49.7453,49.7453,52.7461,52.7462,52.7463,0,4,4,4,1,38 - 12,26,23,36,2,,,,,,,,,,,,
,,,,,105,1,short,A,2024-08-27_08h25.36.213,arithmetic_task,2024.1.5,MacIntel,60.24096386,52.7558,52.7559,52.7559,55.9623,1,0,3.2041,,55.9625,57.9626,57.9626,60.963,60.9631,60.9631,0,5,5,5,1,38 + 26,64,54,62,1,,,,,,,,,,,,
,,,,,105,1,short,A,2024-08-27_08h25.36.213,arithmetic_task,2024.1.5,MacIntel,60.24096386,60.9742,60.9745,60.9745,63.7464,2,0,2.7579,,63.7467,65.7462,65.7462,68.7461,68.7462,68.7462,0,6,6,6,1,108 / 2,54,56,64,2,,,,,,,,,,,,
,,,,,105,1,short,A,2024-08-27_08h25.36.213,arithmetic_task,2024.1.5,MacIntel,60.24096386,68.7564,68.7566,68.7566,70.1128,2,0,1.3422,,70.113,72.1128,72.1128,75.1127,75.1128,75.1128,0,7,7,7,1,15 * 2,30,27,26,2,,,,,,,,,,,,
,,,,,105,1,short,A,2024-08-27_08h25.36.213,arithmetic_task,2024.1.5,MacIntel,60.24096386,75.1234,75.1235,75.1235,78.1792,2,0,3.0426,,78.1796,80.1795,80.1795,83.1795,83.1796,83.1796,0,8,8,8,1,30 - 14,16,17,18,2,,,,,,,,,,,,
